x;place;count
18;Mycosphaeralla;NA
17;sapro[hytes;NA
17;saprophytes;NA
17; saprophytes;NA
17;saprophytic;NA
17;Saprophytes;NA
17;saprophtyes;NA
17;saprophyte;NA
16; Conithyrium;1
16;Coniothyrium;NA
16;Coniothyrium sp.;NA
15; B. dothidea;6
15;B. dothidea;NA
15;B dothidea;NA
15;B. dohtidea;NA
14;Collectrichum;1
14;colletotrichium;NA
14; Collectrichium;NA
14; Collectorichium;NA
14; Colletotrichum;NA
13;Phaeosptoria;1
13;Phaeoseptoria;NA
12; Pestalotiopsis;3
12;Pestaliopsis;NA
12; Pestalopsis sp.;NA
12;Pestalotiopsis sp.;NA
12; Pestaltiopsis sp.;NA
12;Pestalotiopsis;NA
12;pestalotiopsis;NA
12; pestaltiopsis;NA
12; Pestalioopsis;NA
12; Pestalotriopsis;NA
12;Petalitiopsis;NA
12;Pestalatiopsis;NA
11; Alternaria;5
11; Alternaria sp.;NA
11; Alternara sp.;NA
11;Alternaria;NA
11; alternaria;NA
11;Alternaria sp.;NA
11; Alternarisa;NA
10;penicillium;5
10;Penicillium;5
10;penicillium sp.;NA
10; Penicillium sp.;NA
10; penicilium;NA
10; penicillium;NA
10;Penicilium;NA
10; Penicilium;NA
9;Pythium;511
9; pythium;NA
9; Pythium sp.;NA
9;pythium sp.;NA
9;Pythium sp.;NA
9;Phytium sp.;NA
9; pytthium;NA
9; pyhtium;NA
9; pythium sp.;NA
9; Pythium;NA
9; Pyhtium sp.;NA
9; Pythiun sp.;NA
9;Pythium spp.;NA
8;F. oxy;74
8; F. oxy;7
8;f. oxy;NA
8;F.oxy;NA
8; F.oxy;NA
7;Phytophthora;412
7; Phytophthora spp.;2
7;phytophthora;11
7; phytophthora;NA
7; phyophthora;NA
7;Phytophthora sp.;NA
7;Phtyophtora sp.;NA
7;Phytophtora;NA
7;phytopthora;NA
7; Phytophthora sp.;NA
7; Phytophthora;NA
7; phytophthora sp.;NA
7; Phytophthors;NA
7;Phytphthora sp.;NA
7;Phytopthora sp.;NA
7;Phyopthora;NA
7;Phytophtora sp.;NA
7; Phytopthora sp.;NA
7;Phtyophthora sp.;NA
7; Phytophtora sp.;NA
6;F. oxy. F. sub;1
6;F. oxy & F. sub;NA
5;F. sub;46
5; F sub;1
5; F. sub;NA
4; B cinerea;2
4; b. cinerea;1
4;B. cinerea;5
3;Cylindrocladium;75
3; Cylindrocladium;7
3; cylindrocladium;NA
3;Cylindrocladium ;NA
3;Cylindrcladium sp.;NA
3;cylindrcladium;NA
3;Cylindrocladium sp.;NA
3;cylindrocladium;NA
3; Cylindrocladium sp.;NA
3;Cylindocladium;NA
3; Cylindrocladium sp;NA
3;Cylindrocladium spp.;NA
3;cylindrocladium sp.;NA
3; cylindrocladium sp.;NA
3;Cylindorcladium sp.;NA
2; Stem);NA
2;FSP;24
2;Botryitis;2
2; botryitis;NA
2; FSP;NA
2;botrytis sp.;NA
2;Botrytis sp.;NA
2; Botrytis sp;NA
2; botrytis ;NA
2;Bot.;NA
2; Botrytis;NA
2;Botryo;NA
2; Bot;NA
2;Bot. sp.;NA
2;Botrytis;NA
2;Bot. ;NA
2;Botryotis;NA
2; Bot.;NA
2;Bot;NA
2; bot.;NA
2;Bot sp.;NA
2;Bot spp.;NA
2;Bot. sp;NA
2; Botryotis sp.;NA
2;N/A;NA
2;botrytis;NA
2;T);NA
2; S);NA
2; Stem);NA
2; Root);NA
1;S. sapinea;121
1;S.sapniea;1
1; S. sapinea;7
1;s. sapinea;NA
1;S sapinea;NA
1;S. saoinea;NA
1;S. pineae;NA
1;D. pinea;NA
1;D.pinea;NA
0;Identified Fusarium circinatum & Fusarium oxysporum;NA
0; Fusarium oxysporum & Phytophthora;NA
0;Identified Fusarium circinatum & Rhiannon sp.;NA
0;Identified Phytophthora sp.;NA
0;Isolated Fusarium sp. but not Fusarium circinatum;NA
0;Samples from Pack 4 tested positive for Fusarium circinatum;NA
0;No pathogens identified;NA
0; Secondary fungi isolated;NA
0;No Phytophthora was identified;NA
0; Phytophthora or Pythium;NA
0;Identified Diplodia and Rhizoctonia;NA
0;Identified secondary fungi;NA
0;8/11 P. greggii samples tested positive for Fusarium circinatum;NA
0;2/10 P. patula samples tested positive for Fusarium circinatum;NA
0;Botrytis identified on Eucalyptus samples;NA
0;Humicola;1
0;P. ancanthophoron;1
0;A. tumefaciens;1
0;Helminthosporum;1
0;Cryphonectra;3
0;insect damage;1
0;aphids;3
0;Endothia gyrosa;2
0;E. gyrosa;5
0;P. cinnamomi;8
0;Fusarium spp. S. sapinea;1
0; F. semitectium;1
0;pachpasa;NA
0; P arrhenomanes;NA
0;Collybia;NA
0;hylastes angustatus;NA
0;M. molleriana;NA
0;Cerambycidae;NA
0; P. rostratum;NA
0; P. perplexum;NA
0; P. echnulatum;NA
0;Dothiostoma;NA
0;Botryospheria dothidea;NA
0;P. splendens;NA
0; C. cubensis;NA
0;Orthotomicus erosus;NA
0;Macrophomopsis;NA
0;Aureobasidium pullulans;NA
0;L. theobromae;NA
0;Marchantia sp.;NA
0;Fusarium sp. Trichoderma sp.;NA
0; verirticillium sp.;NA
0; graphium sp.;NA
0;ophiostoma querci;NA
0; Sphaeroteca sp.;NA
0;Alternaria and botryitis;NA
0;Pseudomonas;NA
0;F. moniliforme;NA
0;fusarium sp. and S. sapinea;NA
0;Nuemacyclus minor;NA
0;Aulographina eucalyptii;NA
0;xanthomonas campestris pv juglandis;NA
0;thrips;NA
0;Rhizinia;NA
0;too dry;NA
0;Phytophthora & Pythium spp.;NA
0;white grub;NA
0;Kirramyces epicoccoides;NA
0;Colletotrichium gleosporoides;NA
0;Pythium & Phytophthora sp.;NA
0;insects;NA
0;Chaetomium;NA
0;environmental factors;NA
0;Pestaltiopsis & Botrytis;NA
0;Bot. sp. & cylindrocladium sp.;NA
0;nutrient deficiency;NA
0;physiological;NA
0; Cylindrocladium sp. & Bot sp.;NA
0;Psuedophaeolus;NA
0;Fusarium solani;NA
0;Fusarium & nematodes;NA
0;Alternaria sp. & phomopsis sp.;NA
0;Coniothyrium zuluense;NA
0;Pestalotiopsis & Epicoccum;NA
0; mycosphaerella and cytospora;NA
0;fusarium sp. and bot. sp.;NA
0;bacterial sp.;NA
0;non-sporulating fungus;NA
0;F. oxysporum and FSP;NA
0;root nematodes and fusarium sp.;NA
0;cylindrocladium sp. and botrytis cinerea;NA
0;cylindrocladium sp. and botrytis ;NA
0;F. poliferum;NA
0;Mycospaerella sp. and P. eucalyptii;NA
0;Pisolithus tinctorius;NA
0;sooty mould;NA
0;cyprus aphid;NA
0;Geotrichum sp.;NA
0;catepillar;NA
0;Cryptosporiopsis and Acremonium;NA
0;Bacterial wilt ;NA
0;Pantoea sp. and P. eucalyptii;NA
0; Restolotiopsis sp.;NA
0;Kiramyces destructans;NA
0; Nectria sp.;NA
0; Glomerella sp.;NA
0;red spider mite;NA
0;P. nucotianae;NA
0;Astylus;NA
0;termites;NA
0; Drechsler sp.;NA
0; Pessoides;NA
0; F. oxysporum var. redolens;NA
0; Phaeophleopsis sp.;NA
0;Pantoea sp. and Mycosphaerella sp.;NA
0;black pine aphids;NA
0;insects and S. sapinea;NA
0;Pantoea sp. and Botryosphaeria;NA
0;Fusaruim and Sphaeropsis;NA
0;Imbrasia cytherea;NA
0; Phomopsis;NA
0;Mucor sp.;NA
0; Pestalotia;NA
0; Aspergillus;NA
0;Bot. & Ceratocystis;NA
0;Cylindrocladium pauciramosum;NA
0;blue stain & white rot;NA
0;fungi in soil;NA
0;negative;NA
0;Ceraricystis sp.;NA
0;F. oxy & Fusarium sp.;NA
0;dead;NA
0;Oidium sp.;NA
0;brown rot;NA
0;F. graminiarium;NA
0;Sphaeropsis sapinea;NA
0;Pectobacterium;NA
0;Bot. sp. and Mycospearella sp.;NA
0;Phytophthora sp. and Chalara sp.;NA
0;Chalara sp.;NA
0; Phytophthora sp. asnd fusarium sp.;NA
0;Botrytis cinerea;NA
0;F. cir and sphaeriopsis;NA
0;Pythium and phytophthora sp.;NA
0;fusarium and trichoderma;NA
0;sphaeriopsis anf fusarium;NA
0;Pachypasa capensis;NA
0;Sirex noctilio;NA
0;Collectotrichium sp. diplodia;NA
0;Phytophtora and Botryosphearia;NA
0;pythium and cylidrocladium sp.;NA
0;Gonipterus beetles;NA
0;Phaeocercospoora;NA
0;secondary fungi and Bot.;NA
0;C. albifundus and P. nicitianeae;NA
0;Chrysalis of butterfly;NA
0;Dothistroma septospora;NA
0;leptographium sp.;NA
0;severe J rooting;NA
0;Imbrosia wahlberi;NA
0;Colletogloeopsis zuluense;NA
0; Pissodes nemorensis;NA
0;Secondary saprophytes;NA
0;Disease screening;NA
0;NO DISEASE REPORT;NA
0;Larvae analyses;NA
0;Fusarium sp. and Phytophthora sp. screening;NA
0;Ceraocystis sp. screening;NA
0; Phytophthora sp. and Fusarium sp. screening;NA
0;Leptocybe sp. screening;NA
0;Samples to dry for analyses;NA
0;Secondary Fungi/Bacteria;NA
0;Fusarium circinatum detected on all samples;NA
0;1/5 (1) Fusarium circinatum;NA
0;3/5 (1;NA
0;4/5 samples positive forFusarium circinatum;NA
0;Phanerocheate crassa;NA
0;8/10 positive for Fusarium circiantum;NA
0;Teratosphearia sp.(Mycosphaeria);NA
0;No desired growth on PDA/FSM;NA
0;No growth tips;NA
0;Cytospora sp. Botryosphearia sp.;NA
0;Possible Neofusicoccum;NA
0;Teratosphearia sp. Kirramyces sp.;NA
0;Neofusicoccum (Botryosphaeria);NA
0;Diplodia pinea (tip);NA
0; Fusarium circinatum (root);NA
0;Fusarium circinatum isolated from two seedlings;NA
0;Fusarium circinatum and Diplodia pinea;NA
0;3 Fusarium cicinatum and 1 Diplodia pinea ;NA
0;Bacterial contamination;NA
0;Neofussicoccum spp.;NA
0;Teratosphaeria sp.;NA
0;Calonectria sp.;NA
0;Quambilaria sp. leaf blight;NA
0; Lasiodiplodia;NA
0;Leptocybe invasa;NA
0;Tetratosphaeria;NA
0;No growth;NA
0;Trichoderma and other secondary Fungi;NA
0;No plate received;NA
0;TL0196 RC;NA
0; TL0202 S;NA
0;TL0203 S Fusarium circinatum;NA
0;Holocryphia eucalypti;NA
0;General bacteria and fungi;NA
0; 2 cultures positive for Fusarium circinatum;NA
0;Cultures tested negative for Fusarium circinatum;NA
0;Fusarium circinatumcinatum identified in one plant;NA
0;Fusarium circinatumcinatum identified from 3 root and root collar samples;NA
0;Secondary fungi;NA
0;All seeds tested negative for Fusarium circinatum;NA
0;General fungi and bacteria identified;14
0;Botryosphaeriaceae;1
0;Fusarium circinatumcinatum identified in 3 trees;NA
0;Fusarium circinatumcinatum identified in two plants;NA
0;Fusarium circinatumcinatum identified from 2 isolates;NA
0;Fusarium circinatumcinatum identified in TC 00245;NA
0;Fusarium circinatumcinatum identified in TC 00272 (S;NA
0; TC00273 (RC);NA
0; TC 00275;NA
0; Botryosphaeriaceae isolate identified;NA
0;General fungi;NA
0;Leptocybe;NA
0;Fusarium circinatum identified in TC00280T;NA
0;Secondary/general fungi & bacteria identified;NA
0;Phytophthora was not identified;NA
0;Pythium and Phytophthora were identified;NA
0;Fusarum circinatum was identified in one sample;NA
0; General fungi & bacteria were identified;NA
0;Fusarium circinatum was identified in TL0340 (R;NA
0; RC);NA
0;Fusarium circinatum was identified from 6 isolates;NA
0;Identified as Fusarium oxysporum (Stem);NA
0; Diplodia & Botryosphaeria spp. Were no identified;NA
0;TL00380 RC;NA
0; TL00397 T;NA
0; TL00403 RC were identified as Fusarium circinatum;NA
0;No Phytophthora or Pythium were identified;NA
0;Phytophthora & Pythium were identified.;NA
0;Fusarium circinatum was identified in 5 of the 11 isolates;NA
0;No pathogens were identified;NA
0; No fungal or bacterial growth was observed;NA
0;Insect damage identified as Thaumastocoris;NA
0; General/Secondary fungi & bacteria;NA
0;Diplodia and Fusarium circinatum were identified;NA
0;Secondary/General fungi and bacteria were identified;NA
0;Diplodia and General/Secondary fungi & bacteria were identified;NA
0;Powdery mildew-causing fungus;NA
0;All of the samples tested negative for Fusarium circinatum;NA
0;9/10 samples tested positive for Fusarium circinatum;NA
0;Secondary/General fungi and bacteria;NA
0;General/Secondary fungi and bacteria;NA
0;7/16  samples tested positive for Fusarium circinatum;NA
0;Identified as Fusarium oxysporum & Diplodia pinea;NA
0;Identified as Fusarium oxysporum (RC) & Diplodia pinea (S);NA
0;Fusarium circinatum identified in samples TL00505-00509;NA
0;All samples from M20a tested positive for Fusarium circinatum;NA
0;7/10 P.rad Klein tonnel Sick samples tested positive for Fusariumcircinatum;NA
0;Phytophthora isolated from GU 15;NA
0;6/18 samples tested positive for Fusarium circinatum;NA
0; TL00517-00518;NA
0;2/10 P.rad Klein tonnel Healthy samples tested positive for Fusarium circinatum & Pythium;NA
0;P.pat x tec 2 & P.pat x tec 4 tested positive for Fusarium circinatum;NA
0;Cytospora identified in E.nitens;NA
0;P.ptl 012.2;NA
0; P.poh 007.5;NA
0; P.poh 008.1-1;NA
0; P.poh 008.1-2 tested positive for Fusarium circinaum;NA
0;Samples TL00577- TL 0067 were identified as Fusarium circinatum;NA
0;Seed samples tested negative for the presence of Fusarium circinatum;NA
0;One isolate tested positive for Fusarium circinatum;NA
0; Diplodia sp. Not identified;NA
0;Samples infected with Phytophthora;NA
0;No causal agent isolated;NA
0;No primary pathogens were identified;NA
0;Poor root systems;NA
0; Fusarium oxysporum (Root);NA
0;4/12 samples identifed as Fusarium circinatum;NA
0; Diplodia pinea (Root);NA
0;Phytophthora identified on all samples;NA
0;One sample tested positive for Fusarium circinatum;NA
0;Two samples tested positive for Fusarium circinatum;NA
0; Fusarium circinatum (Stem);NA
0;Two samples identified as Fusarium circinatum;NA
0; Secondary fungi & bacteria identified;NA
0;Fungal endophytes & secondary saprophytes were identified;NA
0;Identified as Fusarium oxysporum & Phytophthera;NA
0;Identified as Fusarium circinatum & Phytophthera;NA
0;Phytophthora & Fusarium circinatum identified;NA
0;No plant in insert;NA
0;Identified Fusarium sp. and Phytophthera ;NA
0;Chrysoporthe was not identified. Fusarium & Phythophthora were identified;NA
0;Secondary/general Fusarium sp. were isolated;NA
0;All samples tested negative for Phytophthora;NA
0;Samples tested positive for Phytophthora and negative for Fusarium;NA
