Location;Province;Genus;species.clone;type.of.sample;Asymptomatic.diseased;Nursery.Field;Roots;Root.Collar;Stem;Growth.tip;Needles.Leaves;results
84;;;Acacia;mearnsii;;D;F;;;;;;S. sapinea, cylindrocladium
85;;;Eucalyptus;GC513;cuttings;D;N;;;;;;Cylindrocladium
86;;;;H30/1;cuttings;D;N;;;;;;Cylindrocladium
87;;;;TS15;cuttings;D;N;;;;;;Cylindrocladium
88;;;;;cuttings;;;;;;;;Cylindrocladium
89;;;;H20/1;cuttings;D;N;;;;;;Cylindrocladium
90;;;;T515;cuttings;D;N;;;;;;Cylindrocladium
91;;;;H2;cuttings;D;N;;;;;;Cylindrocladium
92;;;;GC514;cuttings;D;N;;;;;;Cylindrocladium
93;Dalton;;Acacia;mearnsii;;D;F;;;;;;verticilium, acremonium
94;;;Pinus;;;D;N;;;;;;p. irregularae
95;;;;;soil;D;F;;;;;;P. irregulare, P. rostratum, P. perplexum, P. echnulatum
96;Witpklip;;pinus;patula;needles;D;F;;;;;;Dothiostoma
97;Wildebees estate;;Pinus;patula;foilage,stem,soil;D;F;;;;;;S. sapinea
98;Ngodwana;;Pinus;;seedlings;D;N;;;;;;F. oxy
99;;;Pinus;patula;stem, foliage;D;F;;;;;;S. sapinea, saprophytes
100;;;Pinus;patula;stem, foliage;D;F;;;;;;S. sapinea, saprophytes
101;;;Pinus;patula;foliage;D;F;;;;;;saprophytes
102;Nugro;;Pinus;patula;seedlings;D;N;;;;;;s. sapinea
103;Komdraai colliery;;Eucalyptus;nitens;;D;F;;;;;;Coniothyrium
104;;;Eucalyptus;nitens;seedlings;D;F;;;;;;Hainesia lythuri
105;;;Pinus;radiata;foliage;D;F;;;;;;S. sapinea
106;;;;GU;seedlings;D;N;;;;;;Phaeoseptoria
107;;;Pinus;;;D;F;;;;;;S. sapinea
108;Swaziland;;Eucalyptus;;stem,roots,seedling,foliage;D;F;;;;;;Botryospheria dothidea
109;;;peach;;;D;F;;;;;;Phytophthora, pythium
110;Sedgefiald;;Eucalyptus;globulus;leaf;D;F;;;;;;Mycosphaerella
111;Mooi River;;Eucalyptus;maccarthrii;seedling;D;N and F;;;;;;P. irregulare
112;;NE Cape;Pinus ;patula;branches, main stem;D;F;;;;;;diplodia
113;Klipkraal;;Pinus ;;seedlings;D;N;;;;;;F. oxy, FSP
114;Sivwright Farm(Mooi river);;Eucalyptus;nitens;seedling, stem;D;F;;;;;;Mycosphaerella
115;London plantation;;Pinus ;patula;cuttings;D;F;;;;;;S. sapinea
116;;;Eucalyptus;;cuttings, soil;D;F;;;;;;P. eucalypti
117;Ngodwana;KwaZulu-Natal;;GC564;soil, stem, roots;D;F;;;;;;P. splendens
118;;;Eucalyptus;TS15;foliage;D;F;;;;;;P. eucalypti
119;;;;;foliage;D;F;;;;;;Pythium, C. cubensis
120;;;Eucalyptus;;cuttings, soil;D;F;;;;;;Phytophthora
121;Uplands estate-Richmond;;Pinus;greggii;foliage, seedling;D;F;;;;;;Cylindrocladium
122;Uplands estate-Richmond;KwaZulu-Natal;Eucalyptus;saligna;foliage;D;F;;;;;;Cylindrocladium
123;;;Eucalyptus;TAG685;roots;D;F;;;;;;Pythium
124;;;Eucalyptus;;cuttings;D;F;;;;;;Pestaliopsis, Fusarium sp.
125;Hilton;;Eucalyptus;GN65;foliage;D;F;;;;;;P. eucalypti
126;;;;;soil;D;F;;;;;;Pythium
127;;;Pinus;;soil, seedlings;D;N;;;;;;P. irregulare
128;Port Dunford;;;GC015;stem, roots, foliage;D;F;;;;;;P. eucalyptii
129;Port Dunford;;;GC341;stem, roots, foliage;D;F;;;;;;B. dothidea
130;;;Pinus;;leaves, stump;D;F;;;;;;Orthotomicus erosus
131;;;;GC550;leaves, stump, mainstem;D;F;;;;;;Macrophomopsis
132;;;Eucalyptus;grandis;tissue culture;D;;;;;;;Aureobasidium pullulans, trichoderma sp., Cladosporium sp., Alternaria sp., phoma sp.
133;Brooklands plantation sabie;;Eucalyptus;SGR053;foliage;D;F;;;;;;B. dothidea
134;;;Eucalyptus;;leaves;D;F;;;;;;Harknessia, B. dothidea
135;;;Pinus;elliotii;pine cones;D;F;;;;;;L. theobromae, S. sapinea
136;seedling nursery ;Tzaneen;Eucalyptus;cloeziana;seedling;D;N;;;;;;Pythium
137;;;Pinus;;seedlings;D;N;;;;;;FSP
138;;;;;soil;D;F;;;;;;FSP
139;;;;;;D;;;;;;;S. sapinea
140;Wilgeboom;;Eucalyptus;grandis;stem, foliage;D;F;;;;;;B. dothidea
141;Berlin nursery;;Pinus;;seedlings;D;N;;;;;;Marchantia sp.
142;Heluetia;;Pinus;patula;seedlings, soil;D;N;;;;;;P. irregulare
143;;;Eucalyptus;GU;leaves;D;F;;;;;;saprophytic
144;Shafton;KwaZulu-Natal;Eucalyptus;grandis;seedlings;D;N;;;;;;B. dothidea
145;nursery;;Pinus;patula;seedlings;D;N;;;;;;F. oxy
146;;;Eucalyptus;;seedlings;D;F;;;;;;B. dothidea
147;;;Eucalyptus;;cuttings ,soil;D;F;;;;;;Fusarium sp. Trichoderma sp., Pestalopsis sp., Pythium sp.
148;;;Eucalyptus;grandis;;D;F;;;;;;Pythium
149;;;Eucalyptus;grandis;leaves;D;F;;;;;;Botryitis
150;Ntenja nursery;;;;cuttings, stem;D;F;;;;;;C. gleosporiodes, verirticillium sp., Hainesia lythuri
151;Ntenja nursery;;;;cuttings, stem;D;N;;;;;;C. gleosporiodes, verirticillium sp., Hainesia lythuri
152;Mpumalanga;;;;water;A;F;;;;;;Saprophytes
153;Clone bank nursery;;;GU;soil, stem, roots;D;N;;;;;;Pythium
154;;;;GU;cuttings;D;N;;;;;;Cylindrocladium 
155;nursery;;Eucalyptus;GU;cutting;D;N;;;;;;Cylindrocladium 
156;Argentina;;Eucalyptus;;wood chips;D;F;;;;;;Pestalotiopsis sp., graphium sp.
157;;;wattle;;wood chips;D;F;;;;;;penicillium sp., Epicoccum
158;Clone bank ;;;;;D;F;;;;;;ophiostoma querci, Penicillium sp., Pestaltiopsis sp., Sphaeroteca sp.
159;;;Pinus;patula;seedlings;D;N;;;;;;S. sapinea
160;;;Pinus;patula;seedlings;D;F;;;;;;S. sapinea
161;;;Pinus;;seedlings;D;N;;;;;;F. oxy
162;Salma;Mpumalanga;Eucalyptus;smithii;stem;D;F;;;;;;B. dothidea
163;Salma;Mpumalanga;Eucalyptus;viminalis;stem;D;F;;;;;;B. dothidea
164;Old lands;KwaZulu-Natal;Eucalyptus;nitens;;D;F;;;;;;B. dothidea
165;;;Eucalyptus;grandis;leaves;D;F;;;;;;Alternaria and botryitis
166;Piet Retief;;Pinus;taeda;branches,mainstem;D;F;;;;;;S. sapinea
167;Piet Retief;;Pinus;patula;seedlings;D;N;;;;;;S. sapinea
168;;;;;;;;;;;;;oomycete
169;George;NE;Protea;;;D;F;;;;;;Pseudomonas
170;Louwsberg;KwaZulu-Natal;Eucalyptus;grandis;stem, roots, soil, foliage;D;F;;;;;;Pythium
171;Safcol Wilgeboom;Mpumalanga;Pinus;patula;roots, seedlimgs;D;F;;;;;;F. oxy
172;;;Eucalyptus;;Stumps;D;F;;;;;;Pythium
173;Lothair;;Pinus;elliottii;seedling;D;N;;;;;;veriticillum
174;;;Eucalyptus;globulus;leaves;D;F;;;;;;Mycosphaerella
175;;;Pinus;;seedlings;D;N;;;;;;FSP
176;kwazulu-natal;;Eucalyptus;globulus;foliage;D;F;;;;;;Mycosphaerella
177;kwazulu-natal;;Eucalyptus;globulus;foliage;D;F;;;;;;Mycosphaerella
178;Lothair;;Pinus;;seedlings;D;N;;;;;;F. oxy
179;;;;;bark;D;N;;;;;;Armilaria
180;;;Eucalyptus;;;D;F;;;;;;B. dothidea
181;Tweefontein;;Pinus;elliottii;;D;F;;;;;;S. sapinea
182;;;Pinus;;seedlings;D;N;;;;;;Pythium or phytophthora
183;;;Pinus;patula;grafts;D;F;;;;;;S. sapinea
184;Koningskroom;Tzaneen;Pinus;patula;seedlings;D;N;;;;;;S. sapinea
185;;;;TAG685;cuttings;D;F;;;;;;Cylindrcladium sp.
186;Kwambonambi;KwaZulu-Natal;;GC880;foliage;D;F;;;;;;P. eucalyptii
187;;;Pinus;patula;seedlings, soil;D;N;;;;;;F. moniliforme
188;;;Pinus;elliottii;seedlings, soil;D;N;;;;;;F. moniliforme
189;;;Pinus;patula;seedlings, soil;D;N;;;;;;S. sapinea
190;;;Eucalyptus;GU;stem;D;F;;;;;;botrytis sp.
191;Shafton;;Eucalyptus;smithii;soil;D;F;;;;;;Phytophthora
192;;;;TAG637;hedges, leaves, soil;D;F;;;;;;oomycetes
193;Harleigh estate;;Pinus;patula;branches, roots, main stem;D;F;;;;;;S. sapinea
194;;;Eucalyptus;GU;seedlings, soil;D;N;;;;;;Botrytis sp.
195;;;;;water;D;F;;;;;;Fusarium sp., Pythium sp., Penicillium sp.
196;;;Pinus;;soil, plant material;D;F;;;;;;pythium sp.
197;;;Eucalyptus;grandis;roots;D;F;;;;;;cylindrcladium
198;;;Eucalyptus;nitens;leaves, stems;D;F;;;;;;mycosphaerella
199;Enon;;Eucalyptus;smithii;leaves, stems;D;F;;;;;;cylindrcladium
200;Harleigh;;Pinus;;;D;F;;;;;;S. sapinea
201;;;;TAG;leaves, branches, roots;D;F;;;;;;B. dothidea
202;;;;GC;twig, leaves;D;F;;;;;;B. dothidea
203;Shafton;;;GU F330;roots;D;F;;;;;;Phytophthora sp.
204;Curry post;;Eucalyptus;nitens;foliage, stem;D;F;;;;;;Mycosphaerella
205;Iswepe region;;Pinus;;root collars;D;F;;;;;;Armillaria
206;;;Eucalyptus;fastigata;bark;D;F;;;;;;Bostryosphearia
207;HL & H estate;;;GN;foliage;D;F;;;;;;saprophytes
208;Wilgeboom;;Eucalyptus;grandis;root collars;D;F;;;;;;Phytophthora sp.
209;De Matenberg estate;;Pinus;patula;;D;F;;;;;;S. sapinea
210;;;Eucalyptus;;branches;D;F;;;;;;B dothidea
211;Ugie;NE;Pinus;elliottii;stem, roots, foliage, seedlind;D;F;;;;;;fusarium sp. and S. sapinea
212;Karatara;;Pinus;radiata;branches;D;F;;;;;;S. sapinea
213;Concardia;;Pinus;muricata;branches;D;F;;;;;;S. sapinea
214;Lottering;;Pinus;radiata;needles;D;F;;;;;;Nuemacyclus minor
215;Lottering;;Eucalyptus;diversicolor;twigs;D;F;;;;;;Aulographina eucalyptii
216;Tweefontein nursery;;Pinus;patula;soil, seedling;D;N;;;;;;F. sub
217;Loiutrichard;;Pinus;patula;branches, stump;D;F;;;;;;S. sapinea
218;Greytown;;Pinus;patula;branches;D;F;;;;;;S. sapinea
219;;;Eucalyptus;;cuttings;D;F;;;;;;Cylindrocladium
220;;;Eucalyptus;;tissue culture;D;;;;;;;penicillium, trichoderma
221;;;walnuts;;walnuts;D;;;;;;;xanthomonas campestris pv juglandis
222;;;Pinus;;;D;F;;;;;;S. sapinea
223;;;Cypress;;;D;F;;;;;;thrips
224;;;oak;;leaves;D;F;;;;;;Powdery mildew
225;Belfast;;Pinus;patula;seedlings;D;N;;;;;;Rhizinia
226;;;Eucalyptus;;cuttings;D;F;;;;;;Cylindrocladium sp.
227;;;Pinus;patula;seedlings;D;N;;;;;;F. oxy & F. sub
228;;;Pinus;patula;seedlings;D;N;;;;;;F. oxy & F. sub
229;;;Pinus;patula;branches, main stem;D;F;;;;;;Fusarium sp., Botrytis sp, Alternara sp.
230;;;Eucalyptus;grandis;cuttings;D;F;;;;;;P. eucalyptii
231;Greytown;;Eucalyptus;grandis;soil, roots, foliage;D;F;;;;;;P. eucalyptii
232;;;Pinus;patula;;D;F;;;;;;S. sapinea
233;Greytown;;Eucalyptus;grandis;main stem;D;F;;;;;;too dry
234;;;Eucalyptus;nitens;leaves;D;F;;;;;;Mycosphaerella 
235;Greytown;;Eucalyptus;grandis;foliage;D;F;;;;;;Pestalotiopsis, botrytis 
236;Mnt home nursery;;;GN;main stem, roots;D;N;;;;;;B. dothidea
237;Kazata;;Eucalyptus;grandis;leaves, twigs;D;F;;;;;;Bot.
238;louwsberg;;Eucalyptus;ZG14, G10;branches;D;F;;;;;;Phaeseptoria eucalyptii
239;;;Pinus;patula;seedlings, main stem, roots, soil;D;F;;;;;;Phytophthora & Pythium spp.
240;;;Eucalyptus;;cuttings;D;F;;;;;;Cylindrocladium sp.
241;;;Cedreus;decidarus;seedlings, roots, soil;D;F;;;;;;white grub
242;Greytown;;Eucalyptus;grandis;main stem;D;F;;;;;;B. dothidea
243;pine woods;;Eucalyptus;nitens;stem, foliage;D;F;;;;;;saprophytes
244;Swaziland;;Eucalyptus;grandis;seedlings;D;F;;;;;;B. dothidea
245;Swaziland;;Eucalyptus;TG;seedlings;D;F;;;;;;Cylindrocladium, Botrytis, Cladiosporium, Fudsarium sp.
246;Normandien;;Eucalyptus;nitens;roots, soil;D;F;;;;;;Pythium sp.
247;Ixopo;;Eucalyptus;saligna;stem;D;F;;;;;;B. dothidea
248;;;Eucalyptus;;leaves;D;F;;;;;;Kirramyces epicoccoides
249;;;;;water;D;N;;;;;;Fusarium sp.
250;PR Municipality;;Eucalyptus;grandis;leaves;D;F;;;;;;Pythium sp.
251;witon;;Eucalyptus;dunii;;D;N;;;;;;Botryo
252;;;Eucalyptus;GC40;;D;F;;;;;;Botryo
253;;;Eucalyptus;GC643;;D;F;;;;;;Cylindrocladium
254;;;Eucalyptus;;cuttings;D;F;;;;;;Cylindrocladium
255;Kwambonambi;KwaZulu-Natal;Eucalyptus;;cuttings;D;F;;;;;;Colletotrichium gleosporoides
256;Howick;;Pinus;;stems, roots;D;F;;;;;;Rhizinia undulata
257;Underberg;;Eucalyptus;macarthurii;seedlings;D;F;;;;;;P. ecalyptii
258;Liff Plantation;KwaZulu-Natal;Eucalyptus;dunii;leaves, branches;D;F;;;;;;C. gleosporoides
259;karkloof;;Pinus;patula;roots, soil, foliaga;D;F;;;;;;S. sapinea
260;Mafeteng Nursery;Lesotho;Pinus;halensis;seedlings;D;F;;;;;;P. irregulare
261;Mafeteng Nursery;Lesotho;Pinus;greggii;seedlings;D;F;;;;;;P. irregulare
262;Mafeteng Nursery;Lesotho;Pinus;pinaster;seedlings;D;F;;;;;;P. irregulare
263;Mafeteng Nursery;Lesotho;Pinus;radiata;seedlings;D;F;;;;;;P. irregulare
264;Witplip;;Pinus;patula;branches;D;F;;;;;;S. sapinea
265;Lothair;;Eucalyptus;oreades;roots, foliage, soil;D;F;;;;;;P. cinnamomi
266;SouthWood nursery;;Eucalyptus;;main stem, roots, soil;D;F;;;;;;B. dothidea
267;Mooi river;;Eucalyptus;nitens;stem, foliage;D;F;;;;;;Myccosphaerella sp.
268;;;Pinus;patula;stem, roots;D;F;;;;;;Armillaria
269;Kwambonambi;KwaZulu-Natal;Eucalyptus;TAG14;cutting, leaves;D;F;;;;;;Cylindrocladium sp.
270;zululand;KwaZulu-Natal;Eucalyptus;ZBG;foliage;D;F;;;;;;saprophytes
271;Maseru;Lesotho;Pinus;;seedlings;D;N;;;;;;Pythium & Phytophthora sp.
272;;;;GN55;leaves;D;F;;;;;;P. eucalyptii
273;;;Pinus;elliottii;roots, leaves, branches, stump, main stem, soill;D;F;;;;;;insects
274;;;Eucalyptus;;foliage;D;F;;;;;;Alternaria
275;;;Eucalyptus;;cuttings;A;F;;;;;;Epicoccum
276;;;Pine;;cuttings;A;F;;;;;;Chaetomium
277;karkloof;;Pinus;patula;stem, foliage;D;F;;;;;;too dry
278;Glen Fahy;;Pinus;;seedlings;D;N;;;;;;too dry
279;;;Pinus;;;D;N;;;;;;FSP
280;;;Pinus;patula;fruiting body;D;F;;;;;;Rhizinia
281;;;;TAG637;mainstem;D;F;;;;;;B. dothidea, Cytospora sp.
282;Potgietersrus;;;Pinus;mainstem;D;F;;;;;;FSP
283;sabie;;;Eucalytptus;Main stem;D;F;;;;;;FSP
284;New Scotland planation;;Pinus;patula;seedlings;D;N;;;;;;F. oxy
285;London Plantation;;;;;D;F;;;;;;F. oxy
286;Johannesburg;Gauteng;;;;D;F;;;;;;environmental factors
287;;;Eucalyptus;dunnii;;D;F;;;;;;Phytophthora sp.
288;;;;TAG23;;D;F;;;;;;Xanthomonas sp.
289;;;;GC880;;D;F;;;;;;Xanthomonas sp.
290;Franfurt nursery;;Eucalyptus;GU;seedling;D;f;;;;;;saprophytes
291;;;Pinus;;;d;f;;;;;;Pestaltiopsis & Botrytis
292;;;Eucalyptus;;;d;f;;;;;;inconclusive
293;;;Pinus;;;d;f;;;;;;Sphaeriopsis
294;;;Rhus;;;D;F;;;;;;Phoma sp.
295;Mountain Home Nursery;;;GN55;leaves;D;F;;;;;;Xanthomonas
296;Ngondwana valley;;Eucalyptus;grandis;seedlings;D;N;;;;;;Bot. sp. & cylindrocladium sp.
297;Lothair;;Eucalyptus;nitens;seedlings;D;N;;;;;;insects
298;Lothair;;Eucalyptus;macarthurri;seedlings;D;N;;;;;;insects
299;Tweefontein nursery;;;;growth media;D;N;;;;;;FSP
300;Kestell;;Pin oak;;leaves;D;F;;;;;;Coniothyrium sp.
301;Belfast;;Pinus;patula;seedlings;D;F;;;;;;S. sapinea
302;Vergelegen Estate;;;GU21;foliage;D;F;;;;;;bacterium
303;;;;;growth media;D;N;;;;;;Fusarium sp.
304;tweefontein nursery;;pinus;patula;seedlings;D;N;;;;;;FSP
305;;;pinus;patula;seedlings;D;N;;;;;;F. oxy
306;Kwatibane farm;;;GT529;stekm, roots, foliage;D;F;;;;;;nutrient deficiency
307;;;Eucalyptus;;tree;D;F;;;;;;B. dothidea
308;Mtunzini estate;KwaZulu-Natal;;GU543;stem;D;F;;;;;;inconclusive
309;Nyalazi;KwaZulu-Natal;;;leaves, roots;D;F;;;;;;B. dothidea
310;Mpur estate;;Pinus;;fruiting bodies;D;F;;;;;;Rhizina undulata
311;Klipkraal Nursery;;Pinus ;patula;seedlings;D;N;;;;;;FSP
312;Klipkraal Nursery;;Pinus;gregii;seedlings;D;N;;;;;;FSP
313;Bulwer;;Pinus;;seedlings;D;N;;;;;;physiological
314;Klipkraal Nursery;;Pinus;taeda;seedlings;D;N;;;;;;inconclusive
315;White river;;Eucalyptus;;stump;D;F;;;;;;Botryo
316;Uitsoek plantation;;Pinus;patula;seedlings;D;F;;;;;;F. sub
317;;;pinus;gregii;seedlings;D;N;;;;;;F. sub
318;Ndwedwe;;;GC;stem, soil,roots,foliage;D;F;;;;;;P. eucalypti
319;Southern;;Pinus;gregii;seedlings;D;N;;;;;;f. oxy
320;Northern;;Pinus;gregii;seedlings;D;N;;;;;;f. oxy
321;Underberg;;Pinus;patula;seedlings;D;N;;;;;;s. sapinea
322;Sabie;;Eucalyptus;grandis;;D;F;;;;;;B. dothidea
323;;;Pinus;patula;seedlings;D;F;;;;;;inconclusive
324;Vryheid;;;GU;stem,roots,soil,foliage;D;f;;;;;;B. dothidea
325;Franfurt nursery;;Pinus;patula;seedlings;D;N;;;;;;FSP
326;;;Eucalyptus;nitens;leaves;D;F;;;;;;Mycosphaerella
327;;;Eucalyptus;smithii;leaves;D;F;;;;;;Mycosphaerella
328;Tweefontein nursery;;Pinus;patula;seedlings;D;N;;;;;;fusarium
329;Tweefontein nursery;;Pinus;radiata;;D;N;;;;;;fusarium
330;Tweefontein nursery;;;EC;;D;N;;;;;;fusarium
331;Klipkraal Nursery;;Pinus;patula;seedlings;D;N;;;;;;FSP
332;Humansdorp;;Pinus;radiata;soil,tips;D;F;;;;;;s. sapinea
333;;;Eucalyptus;;hedge;D;F;;;;;;inconclusive
334;Mountain Home Nursery;;Eucalyptus;;cuttings;D;F;;;;;;cylindrocladium
335;;;Eucalyptus;;;D;F;;;;;;B. dothidea
336;Piet Retief;;Pinus;patula;seedlings;D;F;;;;;;F. oxy
337;;;Eucalyptus;macarthurri;;D;F;;;;;;-
338;Ugie;;Pinus;gregii;stump, main stem, soil;D;F;;;;;;S. sapinea
339;Alicedale;;pinus;;;D;F;;;;;;S. sapinea
340;Ixopo;KwaZulu-Natal;Eucalyptus;grandis;leaf,root;A;F;;;;;;saprophytes
341;Ngodwana;;;;growth media;D;F;;;;;;Fusarium spp.
342;Klipkraal Nursery;;Pinus;patula;seedlings;D;N;;;;;;F. oxy & F. sub
343;nursery;;Pinus;;seedlings;D;N;;;;;;F. oxy
344;underberg;;Pinus;;branches, main stem;D;F;;;;;;Fusarium, sphaeriopsis
345;Mountain home nursery;;Pinus;PG;seedlings;D;N;;;;;;F. oxy & F. sub
346;;;Eucalyptus;saligna;leaves;D;F;;;;;;inconclusive
347;De Kaap;;;GC1608;stem;D;F;;;;;;B. dohtidea
348;Mountain home nursery;;;GN55;stem,roots;D;N;;;;;;Xanthomonas
349;Good hope estate-Howivk;KwaZulu-Natal;Pinus;patula;foliage;D;F;;;;;;S. sapinea
350;NCT, town bush clonal trial;;Eucalyptus;1623;;D;F;;;;;;Phytium sp.
351;Garlic Estate;;Eucalyptus;1605;;D;F;;;;;;Pestalotiopsis sp.
352;Mountain Home Nursery;;Pinus;patula;seedlings;D;N;;;;;;F. oxy
353;Waterhoutboom;;Eucalyptus;grandis;;D;F;;;;;;B. dothidea
354;Lonridge estate;;Acacia;mearnsii;;D;F;;;;;;Fusarium sp., Cylindrocladium sp. & Bot sp.
355;;;Eucalyptus;grandis;leaves;D;F;;;;;;Mycosphaerella
356;;;Pinus;patula;seedlings;D;N;;;;;;F. oxy
