Location;Province;Genus;species/clone;type of sample;Asymptomatic/diseased;Nursery/Field;Roots;Root Collar;Stem;Growth tip;Needles/Leaves;results
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;Root:shoot ratio;Few roots, Dead, Plug bound;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Outer bark;Dead, Discoloration;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;Root:shoot ratio, Die-back;J-rooting, Few roots, Dead, Plug bound;Healthy;Healthy;Dead;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;;Well developed, J-rooting, Dead, Plug bound;Healthy;Healthy;Alive;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;Wilted;J-rooting, Few roots, Dead, Plug bound;Discoloration, Outer bark, Cambium, Between outer and inner bark;Discoloration, Outer bark, Cambium, Between outer and inner bark;Wilted;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;;J-rooting, Few roots, Dead, Plug bound;Discoloration, Outer bark, Cambium, Between outer and inner bark;Discoloration, Outer bark, Between outer and inner bark;Alive;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;Wilted;J-rooting, Few roots, Dead, Plug bound;Discoloration, Outer bark, Cambium, Between outer and inner bark;Discoloration, Outer bark, Cambium, Between outer and inner bark;Alive, Wilted;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;Wilted;Well developed, J-rooting, Dead, Plug bound;Discoloration, Outer bark, Cambium, Between outer and inner bark;Discoloration, Outer bark, Cambium, Between outer and inner bark;Wilted;Fusarium circitum screening
Caroli;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;;Wilted;J-rooting, Few roots, Dead, Plug bound;Discoloration, Outer bark, Cambium, Between outer and inner bark;Discoloration, Outer bark, Cambium, Between outer and inner bark;Wilted;Fusarium circitum screening
Cascades;North-West;Eucalyptus ;nitens;Leaves/Needles;D;;;;;;;Mycosphaerella
Cascades;North-West?;Eucalyptus;grandis;Seedlings/Cuttings;;;;;;;;Screening for pathogenic Fungi/Bacteria
Cascades;North-West?;Eucalyptus;grandis;Seedlings/Cuttings;;;Unhealthy;;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;;Screening for pathogenic Fungi/Bacteria
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Dead roots, Brown tips;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark;Discoloration, Outer bark, Between outer and inner bark;Dead, Discoloration;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Wilted;J-rooting;Discoloration, Outer bark;Discoloration, Outer bark;Wilted;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Wilted;J-rooting;Discoloration, Outer bark;Discoloration, Outer bark;Wilted;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Die-back, Wilted;J-rooting;Discoloration, Outer bark;Discoloration, Outer bark;Wilted;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Die-back, Wilted;J-rooting;Discoloration, Outer bark;Discoloration, Outer bark;Alive;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Die-back, Wilted;Few roots;Discoloration, Outer bark;Discoloration, Outer bark;Wilted;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Die-back, Wilted;J-rooting;Discoloration, Outer bark;Discoloration, Outer bark;Wilted;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Dead roots, Green tips;Well developed, J-rooting, Dead;Discoloration, Outer bark, Between outer and inner bark;Discoloration, Outer bark, Between outer and inner bark;Alive, Discoloration;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Dead roots, Green tips;Well developed, J-rooting, Dead;Discoloration, Outer bark, Between outer and inner bark;Discoloration, Outer bark, Between outer and inner bark;Alive, Discoloration;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Wilted;Dead;Discoloration, Outer bark;Healthy;Wilted;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Dead roots, Brown tips;Well developed, J-rooting, Dead;Discoloration, Outer bark;Discoloration, Outer bark;Dead, Discoloration;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Die-back;J-rooting;Discoloration, Outer bark;Discoloration, Outer bark;Alive;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Dead roots, Green tips;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark;Discoloration, Outer bark;Alive, Discoloration;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;A;N;Green, Healthy;Healthy;Healthy;Healthy;Alive;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Dead roots, Green tips;Well developed, J-rooting, Dead;Discoloration, Outer bark, Between outer and inner bark;Discoloration, Outer bark;Alive, Discoloration;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Dead roots, Brown tips;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark;Discoloration, Outer bark;Dead, Discoloration;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Wilted, Very dry;Dead;Discoloration, Between outer and inner bark;Discoloration, Outer bark;Wilted;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Dead roots, Green and brown tips;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark;Discoloration, Outer bark, Between outer and inner bark;Dead;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Dry;Few roots, Dead;Discoloration, Outer bark;Healthy;Wilted;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Wilted;Healthy;Healthy;Healthy;Wilted;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Dry;Few roots, Dead;Discoloration, Outer bark;Discoloration, Cambium;Wilted;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Dry;Dead;Healthy;Healthy;Wilted;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial;D;N;Dry;Few roots, Healthy;Discoloration, Outer bark;Healthy;Wilted;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial samples;D;N;Die-back;Well-developed, J-rooting, Dead, Plug bound;Discloration, Outer bark, Cambium, Between outer and inner bark;Discoloration, Outer bark, Between outer and inner bark;Dead;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial samples;D;N;Die-back;Well-developed, J-rooting, Dead, Plug bound;Discloration, Outer bark, Cambium, Between outer and inner bark;Discoloration, Outer bark, Cambium Between outer and inner bark, Between outer and inner bark, Sapwood;Dead, Discoloration;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial samples;D;N;Die-back;Well-developed, J-rooting, Dead, Plug bound;Discloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discloration, Outer bark, Cambium, Between outer and inner bark;Dead, Discoloration;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial samples;D;N;Die-back;Well-developed, J-rooting, Dead, Plug bound, Few roots;Discloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discloration, Outer bark, Cambium, Between outer and inner bark;Dead, Discoloration;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial samples;A;N;Wilted;Healthy;Healthy;Healthy;Alive;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial samples;D;N;Wilted;Dead;Discoloration, Outer bark;Healthy;Wilted, Discoloration;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial samples;D;N;Wilted;Dead;Healthy;Healthy;Wilted;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial samples;D;N;Wilted;Dead;Discoloration, Outer bark;Healthy;Wilted;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;Pot trial samples;D;N;Green healthy;Healthy;Discloration, Between outer and inner bark;Healthy;Alive;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;;D;;Die-back;Healthy, J-rooting;Discoloration, Cambium, Between outer and inner bark;Healthy;Dead;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;;D;;Die-back;Well developed, Healthy;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Cambium, Between outer and inner bark, Outer bark;Dead;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;;D;;Die-back, Plant looks healthy;Well developed, J-rooting, Dead;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Cambium, Between outer and inner bark, Outer bark;Dead;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;;D;;Plant is dead;Few roots, Dead, J-rooting;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Cambium, Between outer and inner bark, Outer bark;Dead;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;;D;;Plant is almost dead, needles, yellowing;Well developed, J-rooting, Dead;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Cambium, Between outer and inner bark, Outer bark;Alive;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;;D;;Die-back, Wilted, B?, S?;Healthy, J-rooting, Few roots;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Dead;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;;D;;Die-back, Plant is dead;Well developed, J-rooting, Dead, Plug bound;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Dead;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;;D;;Die-back;Few roots, Dead, J-rooting;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Dead;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;;D;;Die-back, Wilted, B?, S?, Plant is dead;Well developed, Healthy, J-rooting;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Dead;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;;D;;Die-back;J-rooting;Discoloration, Cambium, Between outer and inner bark;Healthy;Dead;Fusarium circitum screening
Cramond;Kwazulu-Natal;Pinus;patula;;D;;Die-back;Well developed, J-rooting, Plug bound;Discoloration, Cambium, Between outer and inner bark;Healthy;Dead;Fusarium circitum screening
Cramond;Kwazulu-Natal;;;Hedge/Pot trial;D;N;Die-back, Wilted;J-rooting;Discoloration, Outer bark;Discoloration, Outer bark;Wilted;Fusarium circitum screening
Cramond;Kwazulu-Natal;;;Hedge/Pot trial;D;N;;;;;;Fusarium circitum screening
Cramond;Kwazulu-Natal;;;Hedge/Pot trial;D;N;Die-back, Wilted;J-rooting;Healthy;Healthy;Wilted;Fusarium circitum screening
Cramond;Kwazulu-Natal;;;Hedge/Pot trial;D;N;Die-back, Wilted;J-rooting;Discoloration, Outer bark;Healthy;Wilted;Fusarium circitum screening
Elandsfontein;Gauteng;Eurypos;virgineus;;D;;Browning @ nodes/ Isolated from edge of discoloration;Roots cut off;Root collar absent;Healthy, Discoloration @ nodes;;Screening for Fusarium circinatum and or Verticillium
Elandsfontein;Gauteng;Eurypos;virgineus;;D;;Browning @ nodes/ Isolated from edge of discoloration;Roots cut off;Root collar absent;Healthy, Discoloration @ nodes;;Screening for Fusarium circinatum and or Verticillium
Elandsfontein;Gauteng;Eurypos;virgineus;;D;;Browning @ nodes/ Isolated from edge of discoloration;Roots cut off;Root collar absent;Healthy, Discoloration @ nodes;;Screening for Fusarium circinatum and or Verticillium
Elandsfontein;Gauteng;Eurypos;virgineus;;D;;Browning @ nodes/ Isolated from edge of discoloration;Roots cut off;Root collar absent;Healthy, Discoloration @ nodes;;Screening for Fusarium circinatum and or Verticillium
Elandsfontein;Gauteng;Eurypos;virgineus;;D;;Browning @ nodes/ Isolated from edge of discoloration;Roots cut off;Root collar absent;Healthy, Discoloration @ nodes;;Screening for Fusarium circinatum and or Verticillium
Elandsfontein;Gauteng;Eurypos;virgineus;;D;;Browning @ nodes/ Isolated from edge of discoloration;Roots cut off;Root collar absent;Healthy, Discoloration @ nodes;;Screening for Fusarium circinatum and or Verticillium
Elandsfontein;Gauteng;Eurypos;virgineus;;D;;Browning @ nodes/ Isolated from edge of discoloration;Roots cut off;Root collar absent;Healthy, Discoloration @ nodes;;Screening for Fusarium circinatum and or Verticillium
Elandsfontein;Gauteng;Eurypos;virgineus;;D;;Browning @ nodes/ Isolated from edge of discoloration;Roots cut off;Root collar absent;Healthy, Discoloration @ nodes;;Screening for Fusarium circinatum and or Verticillium
Elandsfontein;Gauteng;Eurypos;virgineus;;D;;Browning @ nodes/ Isolated from edge of discoloration;Roots cut off;Root collar absent;Healthy, Discoloration @ nodes;;Screening for Fusarium circinatum and or Verticillium
Elandsfontein;Gauteng;Eurypos;virgineus;;D;;Browning @ nodes/ Isolated from edge of discoloration;Roots cut off;Root collar absent;Healthy, Discoloration @ nodes;;Screening for Fusarium circinatum and or Verticillium
George;Western Cape;;;;D;;;;;Insect/Mechanical damage, Discoloration, Outer bark;;Screening for Fungal/Bacterial pathogens
George;Western Cape;;;;D;;;;;;;Screening for Fungal/Bacterial pathogens
George;Western Cape;;;;D;;;;;Discoloration, Outer bark, Between outer and inner bark;Alive;Screening for Fungal/Bacterial pathogens
George;Western Cape;;;;D;;;;;Healthy, Discoloration, Outer bark, Between outer and inner bark, Fruiting bodies;Alive;Screening for Fungal/Bacterial pathogens
George;Western Cape;;;;D;;;;;Healthy, Discoloration, Outer bark;Dead;Screening for Fungal/Bacterial pathogens
George;Western Cape;;;;D;;;;;Healthy;;Screening for Fungal/Bacterial pathogens
George;Western Cape;;;;D;;;;;Healthy, Discoloration, Outer bark;;Screening for Fungal/Bacterial pathogens
Graskop;Mpumalanga;Pinus;patula x tecunumanii;Roots;D;;;;Discoloration, Outer bark, Between outer and inner bark;;;Armillaria
Graskop;Mpumalanga;Pinus;patula x tecunumanii;Roots;D;;;;Discoloration, Outer bark, Between outer and inner bark;;;Armillaria
Graskop;Mpumalanga;Pinus;patula x tecunumanii;Roots;D;;;;Discoloration, Outer bark, Between outer and inner bark;;;Armillaria
Graskop;Mpumalanga;Pinus;patula x tecunumanii;Roots;D;;;;;;;Armillaria
Hilton;Kwazulu-Natal;Eucalyptus;grandis;;;;A bit dry;Healthy;Healthy;Healthy;;Fusarium circitum screening
Hilton;Kwazulu-Natal;Eucalyptus;grandis;;;;Healthy rootsLeaves show some discoloration;Well developed, Plug bound;Healthy;Healthy;;Fusarium circitum screening
Hilton;Kwazulu-Natal;Eucalyptus;grandis;;;;A bit dry, healthy;Healthy;Healthy;Healthy;;Fusarium circitum screening
Hilton;Kwazulu-Natal;Eucalyptus;grandis;;;;;;;;;Fusarium circitum screening
Hilton;Kwazulu-Natal;Eucalyptus;grandis;;;;;;;;;Fusarium circitum screening
Hilton;Kwazulu Natal;Pinus ;elliottii;Seed;;;;;;;;Screening for Diplodia and Fusarium circinatum
Hilton;Kwazulu Natal;Pinus ;elliottii;Seed;;;;;;;;Screening for Diplodia and Fusarium circinatum
Hilton;Kwazulu Natal;Pinus ;elliottii;Seed;;;;;;;;Screening for Diplodia and Fusarium circinatum
Hilton;Kwazulu Natal;Pinus ;elliottii;Seed;;;;;;;;Screening for Diplodia and Fusarium circinatum
Hilton;Kwazulu Natal;Pinus ;elliottii;Seed;;;;;;;;Screening for Diplodia and Fusarium circinatum
Hilton;Kwazulu Natal;Pinus ;elliottii;Seed;;;;;;;;Screening for Diplodia and Fusarium circinatum
Hilton;Kwazulu Natal;Pinus ;elliottii;Seed;;;;;;;;Screening for Diplodia and Fusarium circinatum
Hilton;Kwazulu Natal;Pinus ;elliottii;Seed;;;;;;;;Screening for Diplodia and Fusarium circinatum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Hilton;Kwazulu-Natal;Pinus;;Seed;;;;;;;;Screening for Fusarium circitum
Himeville;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;;Root:shoot ratio, Dying from top down;Few roots;No staining;Slight staining;Dead;Screening for Fusarium circitum
Himeville;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;;Dying from top down;Well developed, Dead;Discoloration, Cambium, Sapwood;Discoloration, Sapwood;Dead;Screening for Fusarium circitum
Himeville;Kwazulu-Natal;Pinus;patula;Seedlings/Cuttings;D;;Dying from top down;Well developed, Dead;Discoloration, Cambium, Sapwood;Discoloration, Cambium, Sapwood;Dead;Screening for Fusarium circitum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Dead;Well developed, Dead;Discoloration, Cambium;Discoloration, Cambium;Dead;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted;Dead, Plug bound;Discoloration, Outer bark;Discoloration, Outer bark;Wilted;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted;Few roots;Discoloration, Outer bark;Healthy;Alive;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted;Few roots, Dead, Lots of moss;Discoloration, Outer bark, Lots of moss;Healthy;Wilted;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted;Well developed;Discoloration, Outer bark;Healthy;Wilted;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted, Dry;Healthy;Healthy;Healthy;Wilted, Dry and brown;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted;Well developed, Dead;Healthy;Healthy;Wilted, Green;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted;Dead, Plug bound;Discoloration, Between outer and inner bark;;Wilted;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted;Dead;Fruiting bodies;Healthy;Wilted;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted;Few roots, Dead;Discoloration, Between outer and inner bark;Discoloration, Between outer and inner bark;Wilted;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted;Well developed, Dead;Healthy;Healthy;Wilted;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted;Dead;Discoloration, Outer bark;Discoloration, Outer bark;Wilted;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted;Dead;Discoloration, Outer bark;Discoloration, Outer bark;Alive;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted;Well developed, Dark brown;Discoloration, Outer bark;Discoloration, Outer bark;Wilted;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted;Well developed, Dead;Discoloration, Outer bark;Discoloration, Outer bark;Wilted;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted;Few roots, Dead, Fungal growth;Discoloration, Outer bark;Discoloration, Outer bark;All removed;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted;Dead;Discoloration, Outer bark;Healthy;Wilted, Dry ;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted, Dry, Dead;Healthy;Discoloration, Outer bark;Discoloration, Between outer and inner bark;Wilted;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted;Few roots;Discoloration, Between outer and inner bark;Dry;Wilted;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;;Few roots, Dead;Discoloration, Outer bark;Healthy;Wilted;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Wilted;Dead;Discoloration, Outer bark;Healthy;Wilted;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Dead roots, Brown tips;Well developed, Plug bound;Discoloration, Outer bark;Discoloration, Outer bark;Alive;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Dead roots, Brown tips;Well developed, J-rooting, Dead;Discoloration, Outer bark, Swelling, Bewteen outer and inner bark;Discoloration, Outer bark, Between outer and inner bark;Dead;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Dead roots, Green tips;Well developed, J-rooting, Dead, Plug bound;Discoloration, Outer bark, Bewteen outer and inner bark;Discoloration, Outer bark, Between outer and inner bark;Alive;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;;Few roots, Dead;Discoloration, Outer bark, Swelling, Bewteen outer and inner bark;Discoloration, Outer bark, Between outer and inner bark;Dead;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Dead roots, Brown tips;Few roots, Dead;Discoloration, Outer bark, Bewteen outer and inner bark;Discoloration, Outer bark, Between outer and inner bark;Dead;Fusarium and Diplodia screening
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;N;Dead roots, Green tips;Well developed, J-rooting, Dead;Discoloration, Outer bark;Discoloration, Outer bark, Between outer and inner bark;Alive;Fusarium and Diplodia screening
