Location;Province;Genus;species.clone;type.of.sample;Asymptomatic.diseased;Nursery.Field;Roots;Root.Collar;Stem;Growth.tip;Needles.Leaves;results
62;Brian Law;Western Cape;Pinus;patula;root;D;F;Well developed,J-rooting, Healthy, Plug bound;Dead;Discolorationn;Alive;Wilted;S sapinea
63;Knoonpaan;Kwazulu-Natal;Pinus;elliotti;Seed;D;FNF;Die-back;Well developed,J-rooting,Dead,  Plug boundd;Discolorationn;UnHealthy;Wilted,Discoloration;F cir
64;Underberg;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;Die-back;Dead;Discoloration,Outer bark,Cambium,Between outer and inner bark,Sapwood;Alive;Wilted;S sapinea
65;Tzaneen;Mpumalanga;Pinus;patula;Soil,Seed,root;D;FNF;Die-back;Dead;Discolorationn;Alive;Wilted;S sapinea
66;Tzaneen;Kwazulu-Natal;Eucalyptu;dunni;Seed,leaves;D;F;Healthy;Few roots,Dead;Discolorationn;Wilted,Die-back;Healthy;Powdery mildew,FSPrysphearia
67;White River;Mpumalanga;Pinus;patula;Seed;D;FNF;Die-back;Well developed,Healthyy;Discolorationn,Outer bark;Alive;Wilted;F cir
68;jessivale;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;Die-back;Well developed,Dead;Discolorationn;Dead;Wilted,Discoloration;F oxy
69;Tzaneen;Bergplaas;Pinus;patula;Seed;A;FNF;Die-back;Well developed,J-rooting,Dead;Outer bark;Alive;Wilted,Discoloration;Fusarium
70;Benvie;Bergplaas;Pinus;patula;root;D;F;Well developed,Drying;Dead;Discolorationn;Alive;Wilted,Discoloration;F cir
71;Port Dunford;Bergplaas;Eucalyptu;grandi;Seed;A;F;Not Healthy, Healthy,Die-back;Well developed,Dead;Discolorationn,Outer bark;Alive;Alive;inconclusive
72;Longridge;Bergplaas;Pinus;patula;Seed;D;FNF;Die-back;Dead;Discoloration,Outer bark,Cambium,Between outer and inner bark,Sapwood;Alive;Wilted,Discoloration;F cir
73;Longridge;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;Die-back;Few roots,Dead;Discolorationn;Alive;Wilted,Discoloration;F cir
74;Greytown;Kwazulu-Natal;Pinus;radiata;Seed;D;FNF;Die-back;Dead;Discolorationn;Wilted,Die-back;Wilted,Discoloration;F cir
75;Tzaneen;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;Healthy;Dead;Discoloration,Outer bark,Cambium,Between outer and inner bark,Sapwood;wilting;Discoloration;F cir
76;Gilboa estate;Bergplaas;Eucalyptu;greggi;Seed,Cuttings;D;F;Die-back;Few roots,Dead;Cambium,Discolorationn,Sapwood;Wilted;Discoloration;FSPrysphearia,Mycosphaerellasp
77;klipkraal;Kwazulu-Natal;Pinus;taeda;Seed;A;FNF;Healthy;Healthyy;Health;Healthy;Healthy;F oxy
78;Pinelands;Kwazulu-Natal;Pinus;taeda;Seed;D;FNF;Die-back;Dead;Health;Healthy;Healthy;S sapinea
79;klipkraal;Kwazulu-Natal;Pinus;patula;Seed;A;FNF;Die-back;Dead;Health;Healthy;Healthy;F cir
80;klipkraal;Kwazulu-Natal;Pinus;taeda;Seed;A;FNF;Die-back;Dead;Health;Healthy;Healthy;F cir
81;Wilgeboom;Kwazulu-Natal;Pinus;greggi;Seed;D;FNF;no roots;Healthyy;Health;Dead0;Healthy;F oxy,F cir,Diplodia
82;klipkraal;Bergplaas;Pinus;elliotti;Seed;A;FNF;Healthy;Healthyy;Health;Healthy;Wilted;F cir,F oxy
83;Upington;Mpumalanga;Rhus;05;Seed;A;F;Die-back;Healthyy;Health;Healthy;Wilted;Screening for Fusarium circitum
84;klipkraal;Comrie;Pinus;elliotti;Seed/Cuttings;D;FNF;Die-back;Healthyy;Health;Healthy;Alive;Fusarium screening
85;Tzaneen;Comrie;Pinus;patula;Seed/Cuttings;D;F;Die-back;Well developed,Dead;Dead;Dead;Dead;Fusarium screening
86;Tzaneen;Bergplaas;Pinus;elliotti;Seed;A;FNF;Die-back;Well developed,J-rooting,Dead,  Plug boundd;Discolorationn;Dead;Alive;Fusarium screening
87;Howick;Kwazulu-Natal;Pinus;dunni;Seed/Cuttings;A;FNF;Die-back;Well developed,Healthyy;Health,Discolorationn;Healthy;Alive;Fusarium screening
88;Tzaneen;Bergplaas;Pinus;patula;Seed;D;FNF;Die-back;Well developed,Dead;Discolorationn;Discoloration;Alive;Fusarium screening
89;Wilgeboom;Bergplaas;Pinus;patula;Soil;D;FNF;Die-back;Well developed,J-rooting,Dead,  Plug boundd;Discolorationn;Alive;Alive;Fusarium screening
90;Scottsville;Western Cape;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
91;Scottsville;Western Cape;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Well developed,J-rooting,Dead,  Plug boundd;Discolorationn;Alive;Alive;Fusarium screening
92;Scottsville;Western Cape;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Dead;Cambium,Discolorationn,Sapwood;Alive;Alive;Fusarium screening
93;Scottsville;Western Cape;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
94;Scottsville;Western Cape;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Well developed,J-rooting,Dead,  Plug boundd;Cambium,Discolorationn,Sapwood;Dead;Alive;Fusarium screening
95;Tzaneen;Evergreen;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Well developed,J-rooting,Dead,  Plug boundd;Discoloration,Outer bark,Cambium,Between outer and inner bark,Sapwood;Alive;Alive;Fusarium screening
96;Tzaneen;Evergreen;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Alive;Alive;Fusarium screening
97;White River;Evergreen;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Alive;Alive;Fusarium screening
98;Wilgeboom;Comrie;Pinus;patula;Seed/Cuttings;A;FNF;Root:shoot ratio;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
99;Ngodwana;Mpumalanga;Pinus;patulax tecunumanii;Seed/Cuttings;A;FNF;Die-back;Dead;Health;Healthy;Dead;Fusarium screening
100;Ngodwana;Mpumalanga;Pinus;patulax tecunumanii;Seed/Cuttings;A;FNF;Die-back;Dead;Discolorationn;Healthy;Alive;Fusarium screening
101;Pinewood;Bergplaas;Pinus;patulax tecunumanii;Seed/Cuttings;D;FNF;Healthy;Dead;Dead;Dead;Dead;Fusarium screening
102;klipkraal;Comrie;Pinus;55;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
103;Ngodwana;Bergplaas;Pinus;patula;Seed/Cuttings;D;FNF;Healthy;Dead;Health;Healthy;Alive;Fusarium screening
104;Ngodwana;Bergplaas;Pinus;patula;Seed/Cuttings;D;FNF;Healthy;Dead;Discolorationn;Healthy;Scorch;Fusarium screening
105;White River;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Die-back;Well developed,J-rooting,Dead,  Plug boundd;Discolorationn;Alive;Alive;Fusarium screening
106;Camp;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;FNF;Die-back;Healthyy;Health;Healthy;Dead;Fusarium screening
107;Scottsville;Western Cape;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Healthyy;Health;Healthy;Alive;Fusarium screening
108;Howick;Kwazulu-Natal;Pinus;55;Seed/Cuttings;D;FNF;Drytunted;Well developed;Discolorationn;Discoloration;Dead;Fusarium screening
109;Scottsville;Western Cape;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Healthyy;Health;Healthy;Alive;Fusarium screening
110;Scottsville;Western Cape;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Healthyy;Health;Healthy;Alive;Fusarium screening
111;Scottsville;Western Cape;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Healthyy;Health;Healthy;Alive;Fusarium screening
112;Scottsville;Western Cape;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Healthyy;Health;Healthy;Alive;Fusarium screening
113;Scottsville;Western Cape;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Healthyy;Health;Healthy;Alive;Fusarium screening
114;Scottsville;Western Cape;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Healthyy;Health;Healthy;Alive;Fusarium screening
115;Scottsville;Western Cape;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Healthyy;Health;Healthy;Alive;Fusarium screening
116;Scottsville;Western Cape;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
117;Ngodwana;Mpumalanga;Pinus;55;Seed/Cuttings;A;FNF;Die-back;Well developed,J-rooting,Dead,  Plug boundd;Discolorationn;Healthy;Alive;Fusarium screening
118;Ngodwana;Mpumalanga;Pinus;05;Seed/Cuttings;A;FNF;Die-back;Dead;Discolorationn;Alive;Alive;Fusarium screening
119;Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
120;Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
121;Ixopo;Kwazulu-Natal;Pinus;elliotti;Seed/Cuttings;A;FNF;Die-back;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
122;Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Healthyy;Health;Healthy;Alive;Fusarium screening
123;Howick;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;FNF;Healthy;Dead;Discolorationn;Discoloration;Dead;Fusarium screening
124;klipkraal;Bergplaas;Pinus;55;Seed/Cuttings;A;FNF;Die-back;Well developed,J-rooting,Dead,  Plug boundd;Cambium,Discolorationn,Sapwood;Healthy;Alive;Fusarium screening
125;Brakenhill;Comrie;Pinus;radiata;Seed;D;F;Die-back;Well developed,J-rooting,Dead;Discolorationn;Canker,Kino/Gum/Resin Exudation;Alive;Fusarium screening
126;Brakenhill;Kwazulu-Natal;Pinus;radiata;root, root collar, Seed, GrowthSeed;D;F;Die-back;Healthyy;Health;Discoloration;Alive;Fusarium screening
127;Springbok Farms (PMP Sunshine);Comrie;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
128;Springbok Farms (PMP Sunshine);Bergplaas;Pinus;elliotti;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
129;Howick;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;FNF;Healthy;Well developed,Dead,J-rooting;Discolorationn;Discoloration;Wilted;Fusarium screening
130;Highflats;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;FNF;Root:shoot ratio,Die-back, Healthy;Few roots,Dead;Discoloration,Outer bark,Cambium,Between outer and inner bark,Sapwood;Healthy;Wilted;Fusarium screening
131;Ixopo;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
132;Ngodwana;Mpumalanga;Pinus;55;Seed/Cuttings;D;FNF;Die-back;Well developed,Healthyy,Dead;Health;Discoloration;Alive;Fusarium screening
133;Ngodwana;Mpumalanga;Pinus;10;Seed/Cuttings;D;FNF;Die-back;Well developed,Healthyy,Dead;Health;Healthy;Alive;Fusarium screening
134;Scottsville;Bergplaas;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
135;Scottsville;Bergplaas;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
136;Scottsville;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Healthyy;Health;Healthy;Alive;Fusarium screening
137;Scottsville;Bergplaas;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Healthyy;Health;Healthy;Alive;Fusarium screening
138;White River;Mpumalanga;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Healthy;Fusarium screening
139;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;FNF;Die-back;Discoloration;Discolorationn;Discoloration;Dead;Fusarium screening
140;Howick;Kwazulu-Natal;Pinus;tecunumanii;Seed/Cuttings;D;FNF;Die-back;Well developed,Dead;Discolorationn,Sapwood;Discoloration,Sapwood;Dead;Fusarium screening
141;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;FNF;Die-back;Well developed,Dead;Discolorationn,Sapwood;Healthy;Dead;Fusarium screening
142;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Die-back;Well developed,Dead;Health;Healthy;Alive;Fusarium screening
143;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Die-back;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
144;Howick;Kwazulu-Natal;Pinus;patulaxgreggi;Seed/Cuttings;D;FNF;Die-back;Well developed,Dead;Discolorationn,Sapwood;Discoloration,Sapwood;Dead;Fusarium screening
145;White River;Mpumalanga;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Well developed,Healthyy;Health,Discolorationn,Sapwood;Discoloration,Sapwood;Alive;Fusarium screening
146;White River;Mpumalanga;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Well developed,Dead;Health,Discolorationn,Sapwood;Discoloration,Sapwood;Alive;Fusarium screening
147;White River;Mpumalanga;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Well developed,Dead;Discolorationn,Sapwood;Healthy;Alive;Fusarium screening
148;White River;Mpumalanga;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Well developed,Dead;Discolorationn,Sapwood;Healthy;Alive;Fusarium screening
149;White River;Mpumalanga;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Well developed,Dead;Discolorationn,Sapwood;Healthy;Alive;Fusarium screening
150;Paulpietersburg;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Dead;Cambium,Discolorationn,Sapwood;Alive;Alive;Fusarium screening
151;Paulpietersburg;Kwazulu-Natal;Pinus;dunni;Water;A;FNF;Die-back;Well developed,J-rooting,Dead;Discolorationn;Wilted;Alive;Fusarium screening
152;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;FNF;Drycorch;Dead;Discolorationn;Discoloration;Dead;Fusarium screening
153;Howick;Kwazulu-Natal;Pinus;tecunumanii;Seed/Cuttings;D;FNF;Healthy;Dead,Few roots;Discolorationn;Discoloration;Dead;Fusarium screening
154;Howick;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;D;FNF;Drycorch;Dead;Discolorationn;Discoloration;Scorch;Fusarium screening
155;White River;Mpumalanga;Pinus;dunni;Seed/Cuttings;D;FNF;Healthy;Well developed,Healthyy;Health;Healthy;Alive;Fusarium screening
156;Piet Retief;Mpumalanga;Pinus;patula;Seed/Cuttings;D;FNF;Die-back;Well developed,Dead;Health,Sapwood;Healthy;Alive;Fusarium screening
157;Howick;Kwazulu-Natal;Pinus;05;Seed/Cuttings;D;FNF;Drytunted;Well developed;Discolorationn;Discoloration;Discoloration;Fusarium screening
158;Howick;Kwazulu-Natal;Pinus;940;Seed/Cuttings;A;F;Drytunted;Healthyy;Discolorationn;Discoloration;Alive;Fusarium screening
159;Scottsville;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
160;Scottsville;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
161;Scottsville;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Healthy;Healthyy;Health;Healthy;Alive;Fusarium screening
162;Tweedie;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Well developed,Dead;Discolorationn;Discoloration;Alive;Fusarium screening
163;Tweedie;Kwazulu-Natal;Pinus;patulax tecunumanii;Seed/Cuttings;A;FNF;Die-back;Well developed,Dead;Discolorationn,Sapwood;Discoloration,Sapwood;Discoloration;Fusarium screening
164;Tweedie;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;FNF;Die-back;Well developed,Dead;Sapwood;Sapwood;Alive;Fusarium screening
165;White River;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;FNF;Drytunted;Healthyy;Discolorationn;Healthy;Wilted;Fusarium screening
166;Wilgeboom;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;FNF;Die-back;Healthyy;Health;Healthy;Wilted;Fusarium screening
167;Kwambonambi  2TT;Kwazulu-Natal;Eucalyptu;10;Twigs/Branch,Leaves/Needles, Seed, roots;D;FNF;Die-back;Dead;Discolorationn;Wilted,Die-back;Wilted,Discoloration;Screening for bacteriuml blight
168;Wilgeboom;Bergplaas;Pinus;radiata;Seed;D;F;Die-back;Well developed,J-rooting,Dead;Discolorationn;Resin Exudation;Alive;Fusarium screening
