Location;Province;Genus;species/clone;type of sample;Asymptomatic/diseased;Nursery/Field;Roots;Root Collar;Stem;Growth tip;Needles/Leaves;results
Kwambonambi;;Eucalyptus;gu;cuttings;D;F;;;;;;Sporothrix eucalypti
bergplaas;;pinus;pinaster;roots,stems;D;F;;;;;;S. sapinea
;;;GC540;seedlings;D;N;;;;;;saprophytes, botryitis
;;Eucalyptus;;cuttings;D;N;;;;;;Cylindrocladium
tweefontein nursery;;;;roots,stems, soil;D;N;;;;;;Spharopsis, fusarium, phytophthora, pythium
;;Pinus;;seedlings;D;N;;;;;;FSP
;;;;fruiting bodies;;;;;;;;Rhizinia undulata
Beauvallon sugar estate;KwaZulu Natal;Acacia;mearnsii;;D;F;;;;;;Phytophthora
Commandale;KwaZulu Natal;Acacia;mearnsii;;D;F;;;;;;Diplodia
Belfast;;Pinus;patula;seedlings;D;N;;;;;;hylastes angustatus
Bloemfontein;;Eucalyptus;;;D;F;;;;;;Coniothyrium
;;Eucalyptus;;;D;F;;;;;;Coniothyrium
Ngodwana;;Pinus;;seedlings;D;N;;;;;;f. oxy
;;Pinus;taeda;seeds;D;n;;;;;;Fusarium spp.
;;Acacia;mearnsii;;D;F;;;;;;Acremonium
Balgowan;;Eucalyputus;;;D;F;;;;;;M. molleriana
Balgowan;;Eucalyptus;;;D;F;;;;;;Pythium, phyophthora
;;milkwood tree;;;D;F;;;;;;Cerambycidae
;;Acacia;mearnsii;;D;F;;;;;;S. sapinea, cylindrocladium
;;Eucalyptus;GC513;cuttings;D;N;;;;;;Cylindrocladium
;;;H30/1;cuttings;D;N;;;;;;Cylindrocladium
;;;TS15;cuttings;D;N;;;;;;Cylindrocladium
;;;;cuttings;;;;;;;;Cylindrocladium
;;;H20/1;cuttings;D;N;;;;;;Cylindrocladium
;;;T515;cuttings;D;N;;;;;;Cylindrocladium
;;;H2;cuttings;D;N;;;;;;Cylindrocladium
;;;GC514;cuttings;D;N;;;;;;Cylindrocladium
Dalton;;Acacia;mearnsii;;D;F;;;;;;verticilium, acremonium
;;Pinus;;;D;N;;;;;;p. irregularae
;;;;soil;D;F;;;;;;P. irregulare, P. rostratum, P. perplexum, P. echnulatum
Witpklip;;pinus;patula;needles;D;F;;;;;;Dothiostoma
Wildebees estate;;Pinus;patula;foilage,stem,soil;D;F;;;;;;S. sapinea
Ngodwana;;Pinus;;seedlings;D;N;;;;;;F. oxy
;;Pinus;patula;stem, foliage;D;F;;;;;;S. sapinea, saprophytes
;;Pinus;patula;stem, foliage;D;F;;;;;;S. sapinea, saprophytes
;;Pinus;patula;foliage;D;F;;;;;;saprophytes
Nugro;;Pinus;patula;seedlings;D;N;;;;;;s. sapinea
Komdraai colliery;;Eucalyptus;nitens;;D;F;;;;;;Coniothyrium
;;Eucalyptus;nitens;seedlings;D;F;;;;;;Hainesia lythuri
;;Pinus;radiata;foliage;D;F;;;;;;S. sapinea
;;;GU;seedlings;D;N;;;;;;Phaeoseptoria
;;Pinus;;;D;F;;;;;;S. sapinea
Swaziland;;Eucalyptus;;stem,roots,seedling,foliage;D;F;;;;;;Botryospheria dothidea
;;peach;;;D;F;;;;;;Phytophthora, pythium
Sedgefiald;;Eucalyptus;globulus;leaf;D;F;;;;;;Mycosphaerella
Mooi River;;Eucalyptus;maccarthrii;seedling;D;N and F;;;;;;P. irregulare
;NE Cape;Pinus ;patula;branches, main stem;D;F;;;;;;diplodia
Klipkraal;;Pinus ;;seedlings;D;N;;;;;;F. oxy, FSP
Sivwright Farm(Mooi river);;Eucalyptus;nitens;seedling, stem;D;F;;;;;;Mycosphaerella
London plantation;;Pinus ;patula;cuttings;D;F;;;;;;S. sapinea
;;Eucalyptus;;cuttings, soil;D;F;;;;;;P. eucalypti
Ngodwana;Kwzulu-Natal;;GC564;soil, stem, roots;D;F;;;;;;P. splendens
;;Eucalyptus;TS15;foliage;D;F;;;;;;P. eucalypti
;;;;foliage;D;F;;;;;;Pythium, C. cubensis
;;Eucalyptus;;cuttings, soil;D;F;;;;;;Phytophthora
Uplands estate-Richmond;;Pinus;greggii;foliage, seedling;D;F;;;;;;Cylindrocladium
Uplands estate-Richmond;Kwzulu-Natal;Eucalyptus;saligna;foliage;D;F;;;;;;Cylindrocladium
;;Eucalyptus;TAG685;roots;D;F;;;;;;Pythium
;;Eucalyptus;;cuttings;D;F;;;;;;Pestaliopsis, Fusarium sp.
Hilton;;Eucalyptus;GN65;foliage;D;F;;;;;;P. eucalypti
;;;;soil;D;F;;;;;;Pythium
;;Pinus;;soil, seedlings;D;N;;;;;;P. irregulare
Port Dunford;;;GC015;stem, roots, foliage;D;F;;;;;;P. eucalyptii
Port Dunford;;;GC341;stem, roots, foliage;D;F;;;;;;B. dothidea
;;Pinus;;leaves, stump;D;F;;;;;;Orthotomicus erosus
;;;GC550;leaves, stump, mainstem;D;F;;;;;;Macrophomopsis
;;Eucalyptus;grandis;tissue culture;D;;;;;;;Aureobasidium pullulans, trichoderma sp., Cladosporium sp., Alternaria sp., phoma sp.
Brooklands plantation sabie;;Eucalyptus;SGR053;foliage;D;F;;;;;;B. dothidea
;;Eucalyptus;;leaves;D;F;;;;;;Harknessia, B. dothidea
;;Pinus;elliotii;pine cones;D;F;;;;;;L. theobromae, S. sapinea
seedling nursery ;Tzaneen;Eucalyptus;cloeziana;seedling;D;N;;;;;;Pythium
;;Pinus;;seedlings;D;N;;;;;;FSP
;;;;soil;D;F;;;;;;FSP
;;;;;D;;;;;;;S. sapinea
Wilgeboom;;Eucalyptus;grandis;stem, foliage;D;F;;;;;;B. dothidea
Berlin nursery;;Pinus;;seedlings;D;N;;;;;;Marchantia sp.
Heluetia;;Pinus;patula;seedlings, soil;D;N;;;;;;P. irregulare
;;Eucalyptus;GU;leaves;D;F;;;;;;saprophytic
Shafton;Kwzulu-Natal;Eucalyptus;grandis;seedlings;D;N;;;;;;B. dothidea
nursery;;Pinus;patula;seedlings;D;N;;;;;;F. oxy
;;Eucalyptus;;seedlings;D;F;;;;;;B. dothidea
;;Eucalyptus;;cuttings ,soil;D;F;;;;;;Fusarium sp. Trichoderma sp., Pestalopsis sp., Pythium sp.
;;Eucalyptus;grandis;;D;F;;;;;;Pythium
;;Eucalyptus;grandis;leaves;D;F;;;;;;Botryitis
Ntenja nursery;;;;cuttings, stem;D;F;;;;;;C. gleosporiodes, verirticillium sp., Hainesia lythuri
Ntenja nursery;;;;cuttings, stem;D;N;;;;;;C. gleosporiodes, verirticillium sp., Hainesia lythuri
Mpumalanga;;;;water;A;F;;;;;;Saprophytes
Clone bank nursery;;;GU;soil, stem, roots;D;N;;;;;;Pythium
;;;GU;cuttings;D;N;;;;;;Cylindrocladium 
nursery;;Eucalyptus;GU;cutting;D;N;;;;;;Cylindrocladium 
Argentina;;Eucalyptus;;wood chips;D;F;;;;;;Pestalotiopsis sp., graphium sp.
;;wattle;;wood chips;D;F;;;;;;penicillium sp., Epicoccum
Clone bank ;;;;;D;F;;;;;;ophiostoma querci, Penicillium sp., Pestaltiopsis sp., Sphaeroteca sp.
;;Pinus;patula;seedlings;D;N;;;;;;S. sapinea
;;Pinus;patula;seedlings;D;F;;;;;;S. sapinea
;;Pinus;;seedlings;D;N;;;;;;F. oxy
Salma;Mpumalanga;Eucalyptus;smithii;stem;D;F;;;;;;B. dothidea
Salma;Mpumalanga;Eucalyptus;viminalis;stem;D;F;;;;;;B. dothidea
Old lands;Kwzulu-Natal;Eucalyptus;nitens;;D;F;;;;;;B. dothidea
;;Eucalyptus;grandis;leaves;D;F;;;;;;Alternaria and botryitis
Piet Retief;;Pinus;taeda;branches,mainstem;D;F;;;;;;S. sapinea
Piet Retief;;Pinus;patula;seedlings;D;N;;;;;;S. sapinea
;;;;;;;;;;;;oomycete
George;WC;Protea;;;D;F;;;;;;Pseudomonas
Louwsberg;Kwzulu-Natal;Eucalyptus;grandis;stem, roots, soil, foliage;D;F;;;;;;Pythium
Safcol Wilgeboom;Mpumalanga;Pinus;patula;roots, seedlimgs;D;F;;;;;;F. oxy
;;Eucalyptus;;Stumps;D;F;;;;;;Pythium
Lothair;;Pinus;elliottii;seedling;D;N;;;;;;veriticillum
;;Eucalyptus;globulus;leaves;D;F;;;;;;Mycosphaerella
;;Pinus;;seedlings;D;N;;;;;;FSP
kwazulu-natal;;Eucalyptus;globulus;foliage;D;F;;;;;;Mycosphaerella
kwazulu-natal;;Eucalyptus;globulus;foliage;D;F;;;;;;Mycosphaerella
Lothair;;Pinus;;seedlings;D;N;;;;;;F. oxy
;;;;bark;D;N;;;;;;Armilaria
;;Eucalyptus;;;D;F;;;;;;B. dothidea
Tweefontein;;Pinus;elliottii;;D;F;;;;;;S. sapinea
;;Pinus;;seedlings;D;N;;;;;;Pythium or phytophthora
;;Pinus;patula;grafts;D;F;;;;;;S. sapinea
Koningskroom;Tzaneen;Pinus;patula;seedlings;D;N;;;;;;S. sapinea
;;;TAG685;cuttings;D;F;;;;;;Cylindrcladium sp.
Kwambonambi;Kwazulu-Natal;;GC880;foliage;D;F;;;;;;P. eucalyptii
;;Pinus;patula;seedlings, soil;D;N;;;;;;F. moniliforme
;;Pinus;elliottii;seedlings, soil;D;N;;;;;;F. moniliforme
;;Pinus;patula;seedlings, soil;D;N;;;;;;S. sapinea
;;Eucalyptus;GU;stem;D;F;;;;;;botrytis sp.
Shafton;;Eucalyptus;smithii;soil;D;F;;;;;;Phytophthora
;;;TAG637;hedges, leaves, soil;D;F;;;;;;oomycetes
Harleigh estate;;Pinus;patula;branches, roots, main stem;D;F;;;;;;S. sapinea
;;Eucalyptus;GU;seedlings, soil;D;N;;;;;;Botrytis sp.
;;;;water;D;F;;;;;;Fusarium sp., Pythium sp., Penicillium sp.
;;Pinus;;soil, plant material;D;F;;;;;;pythium sp.
;;Eucalyptus;grandis;roots;D;F;;;;;;cylindrcladium
;;Eucalyptus;nitens;leaves, stems;D;F;;;;;;mycosphaerella
Enon;;Eucalyptus;smithii;leaves, stems;D;F;;;;;;cylindrcladium
Harleigh;;Pinus;;;D;F;;;;;;S. sapinea
;;;TAG;leaves, branches, roots;D;F;;;;;;B. dothidea
;;;GC;twig, leaves;D;F;;;;;;B. dothidea
Shafton;;;GU F330;roots;D;F;;;;;;Phytophthora sp.
Curry post;;Eucalyptus;nitens;foliage, stem;D;F;;;;;;Mycosphaerella
Iswepe region;;Pinus;;root collars;D;F;;;;;;Armillaria
;;Eucalyptus;fastigata;bark;D;F;;;;;;Bostryosphearia
HL & H estate;;;GN;foliage;D;F;;;;;;saprophytes
Wilgeboom;;Eucalyptus;grandis;root collars;D;F;;;;;;Phytophthora sp.
De Matenberg estate;;Pinus;patula;;D;F;;;;;;S. sapinea
;;Eucalyptus;;branches;D;F;;;;;;B dothidea
Ugie;NE;Pinus;elliottii;stem, roots, foliage, seedlind;D;F;;;;;;fusarium sp. and S. sapinea
Karatara;;Pinus;radiata;branches;D;F;;;;;;S. sapinea
Concardia;;Pinus;muricata;branches;D;F;;;;;;S. sapinea
Lottering;;Pinus;radiata;needles;D;F;;;;;;Nuemacyclus minor
Lottering;;Eucalyptus;diversicolor;twigs;D;F;;;;;;Aulographina eucalyptii
Tweefontein nursery;;Pinus;patula;soil, seedling;D;N;;;;;;F. sub
Loiutrichard;;Pinus;patula;branches, stump;D;F;;;;;;S. sapinea
Greytown;;Pinus;patula;branches;D;F;;;;;;S. sapinea
;;Eucalyptus;;cuttings;D;F;;;;;;Cylindrocladium
;;Eucalyptus;;tissue culture;D;;;;;;;penicillium, trichoderma
;;walnuts;;walnuts;D;;;;;;;xanthomonas campestris pv juglandis
;;Pinus;;;D;F;;;;;;S. sapinea
;;Cypress;;;D;F;;;;;;thrips
;;oak;;leaves;D;F;;;;;;Powdery mildew
Belfast;;Pinus;patula;seedlings;D;N;;;;;;Rhizinia
;;Eucalyptus;;cuttings;D;F;;;;;;Cylindrocladium sp.
;;Pinus;patula;seedlings;D;N;;;;;;F. oxy & F. sub
;;Pinus;patula;seedlings;D;N;;;;;;F. oxy & F. sub
;;Pinus;patula;branches, main stem;D;F;;;;;;Fusarium sp., Botrytis sp, Alternara sp.
;;Eucalyptus;grandis;cuttings;D;F;;;;;;P. eucalyptii
Greytown;;Eucalyptus;grandis;soil, roots, foliage;D;F;;;;;;P. eucalyptii
;;Pinus;patula;;D;F;;;;;;S. sapinea
Greytown;;Eucalyptus;grandis;main stem;D;F;;;;;;too dry
;;Eucalyptus;nitens;leaves;D;F;;;;;;Mycosphaerella 
Greytown;;Eucalyptus;grandis;foliage;D;F;;;;;;Pestalotiopsis, botrytis 
Mnt home nursery;;;GN;main stem, roots;D;N;;;;;;B. dothidea
Kazata;;Eucalyptus;grandis;leaves, twigs;D;F;;;;;;Bot.
louwsberg;;Eucalyptus;ZG14, G10;branches;D;F;;;;;;Phaeseptoria eucalyptii
;;Pinus;patula;seedlings, main stem, roots, soil;D;F;;;;;;Phytophthora & Pythium spp.
;;Eucalyptus;;cuttings;D;F;;;;;;Cylindrocladium sp.
;;Cedreus;decidarus;seedlings, roots, soil;D;F;;;;;;white grub
Greytown;;Eucalyptus;grandis;main stem;D;F;;;;;;B. dothidea
pine woods;;Eucalyptus;nitens;stem, foliage;D;F;;;;;;saprophytes
Swaziland;;Eucalyptus;grandis;seedlings;D;F;;;;;;B. dothidea
Swaziland;;Eucalyptus;TG;seedlings;D;F;;;;;;Cylindrocladium, Botrytis, Cladiosporium, Fudsarium sp.
Normandien;;Eucalyptus;nitens;roots, soil;D;F;;;;;;Pythium sp.
Ixopo;;Eucalyptus;saligna;stem;D;F;;;;;;B. dothidea
;;Eucalyptus;;leaves;D;F;;;;;;Kirramyces epicoccoides
;;;;water;D;N;;;;;;Fusarium sp.
PR Municipality;;Eucalyptus;grandis;leaves;D;F;;;;;;Pythium sp.
witon;;Eucalyptus;dunii;;D;N;;;;;;Botryo
;;Eucalyptus;GC40;;D;F;;;;;;Botryo
;;Eucalyptus;GC643;;D;F;;;;;;Cylindrocladium
;;Eucalyptus;;cuttings;D;F;;;;;;Cylindrocladium
Kwambonambi;Kwazulu-Natal;Eucalyptus;;cuttings;D;F;;;;;;Colletotrichium gleosporoides
Howick;;Pinus;;stems, roots;D;F;;;;;;Rhizinia undulata
Underberg;;Eucalyptus;macarthurii;seedlings;D;F;;;;;;P. ecalyptii
Liff Plantation;Kwazulu-Natal;Eucalyptus;dunii;leaves, branches;D;F;;;;;;C. gleosporoides
karkloof;;Pinus;patula;roots, soil, foliaga;D;F;;;;;;S. sapinea
Mafeteng Nursery;Lesotho;Pinus;halensis;seedlings;D;F;;;;;;P. irregulare
Mafeteng Nursery;Lesotho;Pinus;greggii;seedlings;D;F;;;;;;P. irregulare
Mafeteng Nursery;Lesotho;Pinus;pinaster;seedlings;D;F;;;;;;P. irregulare
Mafeteng Nursery;Lesotho;Pinus;radiata;seedlings;D;F;;;;;;P. irregulare
Witplip;;Pinus;patula;branches;D;F;;;;;;S. sapinea
Lothair;;Eucalyptus;oreades;roots, foliage, soil;D;F;;;;;;P. cinnamomi
SouthWood nursery;;Eucalyptus;;main stem, roots, soil;D;F;;;;;;B. dothidea
Mooi river;;Eucalyptus;nitens;stem, foliage;D;F;;;;;;Myccosphaerella sp.
;;Pinus;patula;stem, roots;D;F;;;;;;Armillaria
Kwambonambi;Kwazulu-Natal;Eucalyptus;TAG14;cutting, leaves;D;F;;;;;;Cylindrocladium sp.
zululand;Kwazulu-Natal;Eucalyptus;ZBG;foliage;D;F;;;;;;saprophytes
Maseru;Lesotho;Pinus;;seedlings;D;N;;;;;;Pythium & Phytophthora sp.
;;;GN55;leaves;D;F;;;;;;P. eucalyptii
;;Pinus;elliottii;roots, leaves, branches, stump, main stem, soill;D;F;;;;;;insects
;;Eucalyptus;;foliage;D;F;;;;;;Alternaria
;;Eucalyptus;;cuttings;A;F;;;;;;Epicoccum
;;Pine;;cuttings;A;F;;;;;;Chaetomium
karkloof;;Pinus;patula;stem, foliage;D;F;;;;;;too dry
Glen Fahy;;Pinus;;seedlings;D;N;;;;;;too dry
;;Pinus;;;D;N;;;;;;FSP
;;Pinus;patula;fruiting body;D;F;;;;;;Rhizinia
;;;TAG637;mainstem;D;F;;;;;;B. dothidea, Cytospora sp.
Potgietersrus;;;Pinus;mainstem;D;F;;;;;;FSP
sabie;;;Eucalytptus;Main stem;D;F;;;;;;FSP
New Scotland planation;;Pinus;patula;seedlings;D;N;;;;;;F. oxy
London Plantation;;;;;D;F;;;;;;F. oxy
Johannesburg;Gauteng;;;;D;F;;;;;;environmental factors
;;Eucalyptus;dunnii;;D;F;;;;;;Phytophthora sp.
;;;TAG23;;D;F;;;;;;Xanthomonas sp.
;;;GC880;;D;F;;;;;;Xanthomonas sp.
Franfurt nursery;;Eucalyptus;GU;seedling;D;f;;;;;;saprophytes
;;Pinus;;;d;f;;;;;;Pestaltiopsis & Botrytis
;;Eucalyptus;;;d;f;;;;;;inconclusive
;;Pinus;;;d;f;;;;;;Sphaeriopsis
;;Rhus;;;D;F;;;;;;Phoma sp.
Mountain Home Nursery;;;GN55;leaves;D;F;;;;;;Xanthomonas
Ngondwana valley;;Eucalyptus;grandis;seedlings;D;N;;;;;;Bot. sp. & cylindrocladium sp.
Lothair;;Eucalyptus;nitens;seedlings;D;N;;;;;;insects
Lothair;;Eucalyptus;macarthurri;seedlings;D;N;;;;;;insects
Tweefontein nursery;;;;growth media;D;N;;;;;;FSP
Kestell;;Pin oak;;leaves;D;F;;;;;;Coniothyrium sp.
Belfast;;Pinus;patula;seedlings;D;F;;;;;;S. sapinea
Vergelegen Estate;;;GU21;foliage;D;F;;;;;;bacterium
;;;;growth media;D;N;;;;;;Fusarium sp.
tweefontein nursery;;pinus;patula;seedlings;D;N;;;;;;FSP
;;pinus;patula;seedlings;D;N;;;;;;F. oxy
Kwatibane farm;;;GT529;stekm, roots, foliage;D;F;;;;;;nutrient deficiency
;;Eucalyptus;;tree;D;F;;;;;;B. dothidea
Mtunzini estate;KwaZulu-Natal;;GU543;stem;D;F;;;;;;inconclusive
Nyalazi;KwaZulu-Natal;;;leaves, roots;D;F;;;;;;B. dothidea
Mpur estate;;Pinus;;fruiting bodies;D;F;;;;;;Rhizina undulata
Klipkraal Nursery;;Pinus ;patula;seedlings;D;N;;;;;;FSP
Klipkraal Nursery;;Pinus;gregii;seedlings;D;N;;;;;;FSP
Bulwer;;Pinus;;seedlings;D;N;;;;;;physiological
Klipkraal Nursery;;Pinus;taeda;seedlings;D;N;;;;;;inconclusive
White river;;Eucalyptus;;stump;D;F;;;;;;Botryo
Uitsoek plantation;;Pinus;patula;seedlings;D;F;;;;;;F. sub
;;pinus;gregii;seedlings;D;N;;;;;;F. sub
Ndwedwe;;;GC;stem, soil,roots,foliage;D;F;;;;;;P. eucalypti
Southern;;Pinus;gregii;seedlings;D;N;;;;;;f. oxy
Northern;;Pinus;gregii;seedlings;D;N;;;;;;f. oxy
Underberg;;Pinus;patula;seedlings;D;N;;;;;;s. sapinea
Sabie;;Eucalyptus;grandis;;D;F;;;;;;B. dothidea
;;Pinus;patula;seedlings;D;F;;;;;;inconclusive
Vryheid;;;GU;stem,roots,soil,foliage;D;f;;;;;;B. dothidea
Franfurt nursery;;Pinus;patula;seedlings;D;N;;;;;;FSP
;;Eucalyptus;nitens;leaves;D;F;;;;;;Mycosphaerella
;;Eucalyptus;smithii;leaves;D;F;;;;;;Mycosphaerella
Tweefontein nursery;;Pinus;patula;seedlings;D;N;;;;;;fusarium
Tweefontein nursery;;Pinus;radiata;;D;N;;;;;;fusarium
Tweefontein nursery;;;EC;;D;N;;;;;;fusarium
Klipkraal Nursery;;Pinus;patula;seedlings;D;N;;;;;;FSP
Humansdorp;;Pinus;radiata;soil,tips;D;F;;;;;;s. sapinea
;;Eucalyptus;;hedge;D;F;;;;;;inconclusive
Mountain Home Nursery;;Eucalyptus;;cuttings;D;F;;;;;;cylindrocladium
;;Eucalyptus;;;D;F;;;;;;B. dothidea
Piet Retief;;Pinus;patula;seedlings;D;F;;;;;;F. oxy
;;Eucalyptus;macarthurri;;D;F;;;;;;-
Ugie;;Pinus;gregii;stump, main stem, soil;D;F;;;;;;S. sapinea
Alicedale;;pinus;;;D;F;;;;;;S. sapinea
Ixopo;KwaZulu-Natal;Eucalyptus;grandis;leaf,root;A;F;;;;;;saprophytes
Ngodwana;;;;growth media;D;F;;;;;;Fusarium spp.
Klipkraal Nursery;;Pinus;patula;seedlings;D;N;;;;;;F. oxy & F. sub
nursery;;Pinus;;seedlings;D;N;;;;;;F. oxy
underberg;;Pinus;;branches, main stem;D;F;;;;;;Fusarium, sphaeriopsis
Mountain home nursery;;Pinus;PG;seedlings;D;N;;;;;;F. oxy & F. sub
;;Eucalyptus;saligna;leaves;D;F;;;;;;inconclusive
De Kaap;;;GC1608;stem;D;F;;;;;;B. dohtidea
Mountain home nursery;;;GN55;stem,roots;D;N;;;;;;Xanthomonas
Good hope estate-Howivk;KwaZulu-Natal;Pinus;patula;foliage;D;F;;;;;;S. sapinea
NCT, town bush clonal trial;;Eucalyptus;1623;;D;F;;;;;;Phytium sp.
Garlic Estate;;Eucalyptus;1605;;D;F;;;;;;Pestalotiopsis sp.
Mountain Home Nursery;;Pinus;patula;seedlings;D;N;;;;;;F. oxy
Waterhoutboom;;Eucalyptus;grandis;;D;F;;;;;;B. dothidea
Lonridge estate;;Acacia;mearnsii;;D;F;;;;;;Fusarium sp., Cylindrocladium sp. & Bot sp.
;;Eucalyptus;grandis;leaves;D;F;;;;;;Mycosphaerella
;;Pinus;patula;seedlings;D;N;;;;;;F. oxy
Ngodwana;KwaZulu-Natal;Pinus;patula;seedlings;D;N;;;;;;S. sapinea
Jessievale;;Pinus;patula;branches, main stem;D;F;;;;;;S. sapinea
Jessievale;;Pinus;patula;foliage;D;F;;;;;;S. sapinea
;;Eucalyptus;smithii;;D;F;;;;;;Alternaria
;;Pinus;;;D;F;;;;;;Fusarium sp.
klipkraal-Lothair;;pinus ;patula;seedlings;D;N;;;;;;Fusarium sp.
Richmond nursery;;Acacia;mearnsii;seedlings;D;N;;;;;;Fusarium sp.
Weza Plantation;;Pinus;patula;soil, seedling;D;N;;;;;;F. oxy
;;Eucalyptus;;;D;F;;;;;;inconclusive
Port Durnfordt;;Eucalyptus;;;A;F;;;;;;inconclusive
;;Eucalyptus;;cuttings;D;F;;;;;;B. dothidea
;;;GC513;;D;F;;;;;;B. dothidea
;;;GC550;;D;F;;;;;;Psuedophaeolus, Bot
Longridge;;Pinus;technimannii;;D;F;;;;;;inconclusive
Chillingly estate;;Pinus;patula;leaves, main stem, roots;D;F;;;;;;saprophytes
Sabie;;Pinus;technimannii;leaves, stem,rootts,soil,stumpd;D;F;;;;;;Armillaria spp.
;;;;soil;A;F;;;;;;saprophytes
Klipkraal;;Pinus;patula;seeds;D;N;;;;;;Fusarium sp.
Klipkraal;;Pinus;elliotii;seeds;D;N;;;;;;Fusarium sp.
;;Pinus;patula;seedlings;D;N;;;;;;F. oxy
;;Pinus;patula;seedlings;D;N;;;;;;F. oxy
