Location;Province;Genus;species.clone;type.of.sample;Asymptomatic.diseased;Nursery.Field;Roots;Root.Collar;Stem;Growth.tip;Needles.Leaves;results
Balgowan;;Eucalyptu;;;D;F;;;;;;Pythium,Phytophthora
;;NA;;;D;F;;;;;;NA
;;Acacia;mearnsii;;D;F;;;;;;S sapinea,Cylindrocladium
;;Eucalyptu;;Cuttings;D;FNF;;;;;;Cylindrocladium
;;;;Cuttings;D;FNF;;;;;;Cylindrocladium
;;;;Cuttings;D;FNF;;;;;;Cylindrocladium
;;;;Cuttings;;F;;;;;;Cylindrocladium
;;;;Cuttings;D;FNF;;;;;;Cylindrocladium
;;;;Cuttings;D;FNF;;;;;;Cylindrocladium
;;;;Cuttings;D;FNF;;;;;;Cylindrocladium
;;;;Cuttings;D;FNF;;;;;;Cylindrocladium
Dalton;;Acacia;mearnsii;;D;F;;;;;;verticilium,Acremonium
;;Pinus;;;D;FNF;;;;;;p irregularae
;;;;Soil;D;F;;;;;;p irregularae, P rostratum, P perplexum, P echnulatum
Witpklip;;Pinus;patula;Seed;D;F;;;;;;NA
Wildebees estate;;Pinus;patula;foliage,Seed,Soil;D;F;;;;;;S sapinea
Ngodwana;;Pinus;;Seed;D;FNF;;;;;;F oxy
;;Pinus;patula;Seed,foliage;D;F;;;;;;S sapinea, saprohytes
;;Pinus;patula;Seed,foliage;D;F;;;;;;S sapinea, saprohytes
;;Pinus;patula;foliage;D;F;;;;;;saprohytes
Nugro;;Pinus;patula;Seed;D;FNF;;;;;;S sapinea
Komdraai colliery;;Eucalyptu;nitens;;D;F;;;;;; Conithyrium
;;Eucalyptu;nitens;Seed;D;F;;;;;;Hainesia lythuri
;;Pinus;radiata;foliage;D;F;;;;;;S sapinea
;;;;Seed;D;FNF;;;;;;Phaeosptoria
;;Pinus;;;D;F;;;;;;S sapinea
Swaziland;;Eucalyptu;;Seed,root,Seed,foliage;D;F;;;;;;NA
;;NA;;;D;F;;;;;;Phytophthora,Pythium
Sedgefiald;;Eucalyptu;NA;leaves;D;F;;;;;;Mycosphaerella
Mooi River;;Eucalyptu;macarthuri;Seed;D;F;;;;;;p irregularae
;NE Cape;Pinus;patula;Branch, main Seed;D;F;;;;;;Diplodia
klipkraal;;Pinus;;Seed;D;FNF;;;;;;F oxy,FSP
Sivwright Farm(Mooi river);;Eucalyptu;nitens;Seed, Seed;D;F;;;;;;Mycosphaerella
London plantation;;Pinus;patula;Cuttings;D;F;;;;;;S sapinea
;;Eucalyptu;;Cuttings,Soil;D;F;;;;;;P eucalypti
Ngodwana;Kwazulu-Natal;;;Soil, Seed, root;D;F;;;;;;NA
;;Eucalyptu;;foliage;D;F;;;;;;P eucalypti
;;;;foliage;D;F;;;;;;Pythium, C cubensis
;;Eucalyptu;;Cuttings,Soil;D;F;;;;;;Phytophthora
NA;;Pinus;greggi;foliage, Seed;D;F;;;;;;Cylindrocladium
NA;Kwazulu-Natal;Eucalyptu;NA;foliage;D;F;;;;;;Cylindrocladium
;;Eucalyptu;;root;D;F;;;;;;Pythium
;;Eucalyptu;;Cuttings;D;F;;;;;;  Pestalotiopsis,Fusarium
Hilton;;Eucalyptu;;foliage;D;F;;;;;;P eucalypti
;;;;Soil;D;F;;;;;;Pythium
;;Pinus;;Soil, Seed;D;FNF;;;;;;p irregularae
Port Dunford;;;;Seed, root,foliage;D;F;;;;;;P eucalypti
Port Dunford;;;;Seed, root,foliage;D;F;;;;;;  B dothidea
;;Pinus;;leaves,Seed;D;F;;;;;;NA
;;;;leaves,Seed, mainSeed;D;F;;;;;;NA
;;Eucalyptu;grandi;NA;D;F;;;;;;Aureobasidium pullulans, trichoderma sp sp, Cladosporium sp sp,  Alternaria, phoma sp
Brooklands plantation sabie;;Eucalyptu;;foliage;D;F;;;;;;  B dothidea
;;Eucalyptu;;leaves;D;F;;;;;;Harknessia,   B dothidea
;;Pinus;elliotti;NA;D;F;;;;;;L theobromae,FSP sapinea
NA;NA;Eucalyptu;cloeziana;Seed;D;FNF;;;;;;Pythium
;;Pinus;;Seed;D;FNF;;;;;;FSP
;;;;Soil;D;F;;;;;;FSP
;;;;;D;F;;;;;;S sapinea
Wilgeboom;;Eucalyptu;grandi;Seed,foliage;D;F;;;;;;  B dothidea
Berlin nursery;;Pinus;;Seed;D;FNF;;;;;;NA
Heluetia;;Pinus;patula;Seed,Soil;D;FNF;;;;;;p irregularae
;;Eucalyptu;;leaves;D;F;;;;;;saprohytes
NA;Kwazulu-Natal;Eucalyptu;grandi;Seed;D;FNF;;;;;;  B dothidea
nursery;;Pinus;patula;Seed;D;FNF;;;;;;F oxy
;;Eucalyptu;;Seed;D;F;;;;;;  B dothidea
;;Eucalyptu;;Cuttings ,Soil;D;F;;;;;;Fusarium  trichoderma sp sp,  Pestalotiopsis,Pythium
;;Eucalyptu;grandi;;D;F;;;;;;Pythium
;;Eucalyptu;grandi;leaves;D;F;;;;;;FSP
Ntenja nursery;;;;Cuttings, Seed;D;F;;;;;;C gleosporiodes, verirticillium sp,Hainesia lythuri
Ntenja nursery;;;;Cuttings, Seed;D;FNF;;;;;;C gleosporiodes, verirticillium sp,Hainesia lythuri
Mpumalanga;;;;Water;A;F;;;;;;saprohytes
Clone bank nursery;;;;Soil, Seed, root;D;FNF;;;;;;Pythium
;;;;Cuttings;D;FNF;;;;;;Cylindrocladium
nursery;;Eucalyptu;;Cuttings;D;FNF;;;;;;Cylindrocladium
Argentina;;Eucalyptu;;root chips;D;F;;;;;;  Pestalotiopsis, graphium sp
;;Water;;root chips;D;F;;;;;;penicillium,  Epicoccum
Clone bank ;;;;;D;F;;;;;;ophiostoma querci,penicillium,  Pestalotiopsis,FSPphaeroteca sp
;;Pinus;patula;Seed;D;FNF;;;;;;S sapinea
;;Pinus;patula;Seed;D;F;;;;;;S sapinea
;;Pinus;;Seed;D;FNF;;;;;;F oxy
NA;Mpumalanga;Eucalyptu;NA;Seed;D;F;;;;;;  B dothidea
NA;Mpumalanga;Eucalyptu;NA;Seed;D;F;;;;;;  B dothidea
NA;Kwazulu-Natal;Eucalyptu;nitens;;D;F;;;;;;  B dothidea
;;Eucalyptu;grandi;leaves;D;F;;;;;;NA
Piet Retief;;Pinus;taeda;Branch,mainSeed;D;F;;;;;;S sapinea
Piet Retief;;Pinus;patula;Seed;D;FNF;;;;;;S sapinea
;;;;;;F;;;;;;oomycete
George;WC;NA;;;D;F;;;;;;NA
NA;Kwazulu-Natal;Eucalyptu;grandi;Seed, root,Soil,foliage;D;F;;;;;;Pythium
NA;Mpumalanga;Pinus;patula;root, Seedlimgs;D;F;;;;;;F oxy
;;Eucalyptu;;Seed;D;F;;;;;;Pythium
Lothair;;Pinus;elliotti;Seed;D;FNF;;;;;;verticilium
;;Eucalyptu;NA;leaves;D;F;;;;;;Mycosphaerella
;;Pinus;;Seed;D;FNF;;;;;;FSP
kwazulu-natal;;Eucalyptu;NA;foliage;D;F;;;;;;Mycosphaerella
kwazulu-natal;;Eucalyptu;NA;foliage;D;F;;;;;;Mycosphaerella
Lothair;;Pinus;;Seed;D;FNF;;;;;;F oxy
;;;;bark;D;FNF;;;;;;Armilaria
;;Eucalyptu;;;D;F;;;;;;  B dothidea
Tweefontein;;Pinus;elliotti;;D;F;;;;;;S sapinea
;;Pinus;;Seed;D;FNF;;;;;;Pythium orPhytophthora
;;Pinus;patula;Graft;D;F;;;;;;S sapinea
Koningskroom;NA;Pinus;patula;Seed;D;FNF;;;;;;S sapinea
;;;;Cuttings;D;F;;;;;;Cylindrocladium
Kwambonambi;Kwazulu-Natal;;;foliage;D;F;;;;;;P eucalypti
;;Pinus;patula;Seed,Soil;D;FNF;;;;;;NA
;;Pinus;elliotti;Seed,Soil;D;FNF;;;;;;NA
;;Pinus;patula;Seed,Soil;D;FNF;;;;;;S sapinea
;;Eucalyptu;;Seed;D;F;;;;;;FSP
NA;;Eucalyptu;NA;Soil;D;F;;;;;;Phytophthora
;;;;Hedge, leaves,Soil;D;F;;;;;;oomycete
Harleigh estate;;Pinus;patula;Branch, root, main Seed;D;F;;;;;;S sapinea
;;Eucalyptu;;Seed,Soil;D;FNF;;;;;;FSP
;;;;Water;D;F;;;;;;Fusarium,Pythium,penicillium
;;Pinus;;Soil, plant material;D;F;;;;;;Pythium
;;Eucalyptu;grandi;root;D;F;;;;;;Cylindrocladium
;;Eucalyptu;nitens;leaves, Seed;D;F;;;;;;Mycosphaerella
Enon;;Eucalyptu;NA;leaves, Seed;D;F;;;;;;Cylindrocladium
Harleigh;;Pinus;;;D;F;;;;;;S sapinea
;;;;leaves, Branch, root;D;F;;;;;;  B dothidea
;;;;Seed, leaves;D;F;;;;;;  B dothidea
NA;;; F0;root;D;F;;;;;;Phytophthora
Curry post;;Eucalyptu;nitens;foliage, Seed;D;F;;;;;;Mycosphaerella
Iswepe region;;Pinus;;NA;D;F;;;;;;Armilaria
;;Eucalyptu;NA;bark;D;F;;;;;;FSPrysphearia
HL & H estate;;;;foliage;D;F;;;;;;saprohytes
Wilgeboom;;Eucalyptu;grandi;NA;D;F;;;;;;Phytophthora
De Matenberg estate;;Pinus;patula;;D;F;;;;;;S sapinea
;;Eucalyptu;;Branch;D;F;;;;;;  B dothidea
Ugie;NE;Pinus;elliotti;Seed, root,foliage,Seed;D;F;;;;;;NA
Karatara;;Pinus;radiata;Branch;D;F;;;;;;S sapinea
Concardia;;Pinus;NA;Branch;D;F;;;;;;S sapinea
Lottering;;Pinus;radiata;Seed;D;F;;;;;;NA
Lottering;;Eucalyptu;NA;Seed;D;F;;;;;;NA
Tweefontein nursery;;Pinus;patula;Soil, Seed;D;FNF;;;;;;F sub
Loiutrichard;;Pinus;patula;Branch,Seed;D;F;;;;;;S sapinea
Greytown;;Pinus;patula;Branch;D;F;;;;;;S sapinea
;;Eucalyptu;;Cuttings;D;F;;;;;;Cylindrocladium
;;Eucalyptu;;NA;D;F;;;;;;penicillium, trichoderma sp
;;NA;;NA;D;F;;;;;;NA
;;Pinus;;;D;F;;;;;;S sapinea
;;NA;;;D;F;;;;;;NA
;;NA;;leaves;D;F;;;;;;Powdery mildew
Belfast;;Pinus;patula;Seed;D;FNF;;;;;;NA
;;Eucalyptu;;Cuttings;D;F;;;;;;Cylindrocladiumsp
;;Pinus;patula;Seed;D;FNF;;;;;;F oxyF sub
;;Pinus;patula;Seed;D;FNF;;;;;;F oxyF sub
;;Pinus;patula;Branch, main Seed;D;F;;;;;;Fusarium, FSP,  Alternaria
;;Eucalyptu;grandi;Cuttings;D;F;;;;;;P eucalypti
Greytown;;Eucalyptu;grandi;Soil, root,foliage;D;F;;;;;;P eucalypti
;;Pinus;patula;;D;F;;;;;;S sapinea
Greytown;;Eucalyptu;grandi;main Seed;D;F;;;;;;NA
;;Eucalyptu;nitens;leaves;D;F;;;;;;Mycosphaerella
Greytown;;Eucalyptu;grandi;foliage;D;F;;;;;; Pestalotiopsis,FSP
Mnt home nursery;;;;main Seed, root;D;FNF;;;;;;  B dothidea
Kazata;;Eucalyptu;grandi;leaves, Seed;D;F;;;;;;FSP
louwsberg;;Eucalyptu;,;Branch;D;F;;;;;;Phaeseptoria eucalyptii
;;Pinus;patula;Seed, main Seed, root,Soil;D;F;;;;;;NA
;;Eucalyptu;;Cuttings;D;F;;;;;;Cylindrocladiumsp
;;Cedreus;NA;Seed, root,Soil;D;F;;;;;;NA
Greytown;;Eucalyptu;grandi;main Seed;D;F;;;;;;  B dothidea
pine woods;;Eucalyptu;nitens;Seed,foliage;D;F;;;;;;saprohytes
Swaziland;;Eucalyptu;grandi;Seed;D;F;;;;;;  B dothidea
Swaziland;;Eucalyptu;;Seed;D;F;;;;;;Cylindrocladium, FSPrytis, Cladosporium sp sp,Fusarium
Normandien;;Eucalyptu;nitens;root,Soil;D;F;;;;;;Pythium
Ixopo;;Eucalyptu;NA;Seed;D;F;;;;;;  B dothidea
;;Eucalyptu;;leaves;D;F;;;;;;NA
;;;;Water;D;FNF;;;;;;Fusarium
PR Municipality;;Eucalyptu;grandi;leaves;D;F;;;;;;Pythium
witon;;Eucalyptu;dunni;;D;FNF;;;;;;FSPryo
;;Eucalyptu;40;;D;F;;;;;;FSPryo
;;Eucalyptu;64;;D;F;;;;;;Cylindrocladium
;;Eucalyptu;;Cuttings;D;F;;;;;;Cylindrocladium
Kwambonambi;Kwazulu-Natal;Eucalyptu;;Cuttings;D;F;;;;;;NA
Howick;;Pinus;;Seed, root;D;F;;;;;;Rhizinia undulata
Underberg;;Eucalyptu;macarthuri;Seed;D;F;;;;;;P eucalypti
NA;Kwazulu-Natal;Eucalyptu;dunni;leaves, Branch;D;F;;;;;;C gleosporiodes
karkloof;;Pinus;patula;root,Soil, foliaga;D;F;;;;;;S sapinea
NA;NA;Pinus;halensis;Seed;D;F;;;;;;p irregularae
NA;NA;Pinus;greggi;Seed;D;F;;;;;;p irregularae
NA;NA;Pinus;NA;Seed;D;F;;;;;;p irregularae
NA;NA;Pinus;radiata;Seed;D;F;;;;;;p irregularae
Witplip;;Pinus;patula;Branch;D;F;;;;;;S sapinea
Lothair;;Eucalyptu;NA;root,foliage,Soil;D;F;;;;;;NA
SouthWood nursery;;Eucalyptu;;main Seed, root,Soil;D;F;;;;;;  B dothidea
Mooi river;;Eucalyptu;nitens;Seed,foliage;D;F;;;;;;Mycosphaerella
;;Pinus;patula;Seed, root;D;F;;;;;;Armilaria
Kwambonambi;Kwazulu-Natal;Eucalyptu;14;Cuttings, leaves;D;F;;;;;;Cylindrocladiumsp
NA;Kwazulu-Natal;Eucalyptu;;foliage;D;F;;;;;;saprohytes
NA;NA;Pinus;;Seed;D;FNF;;;;;;NA
;;;55;leaves;D;F;;;;;;P eucalypti
;;Pinus;elliotti;root, leaves, Branch,Seed, main Seed,Soill;D;F;;;;;;NA
;;Eucalyptu;;foliage;D;F;;;;;; Alternaria
;;Eucalyptu;;Cuttings;A;F;;;;;; Epicoccum
;;Pinus;;Cuttings;A;F;;;;;;NA
karkloof;;Pinus;patula;Seed,foliage;D;F;;;;;;NA
Glen Fahy;;Pinus;;Seed;D;FNF;;;;;;NA
;;Pinus;;;D;FNF;;;;;;FSP
;;Pinus;patula;fruiting bodies;D;F;;;;;;NA
;;;;mainSeed;D;F;;;;;;  B dothidea,   Cytospora sp sp
Potgietersrus;;;NA;mainSeed;D;F;;;;;;FSP
sabie;;;Eucalytptus;Main Seed;D;F;;;;;;FSP
New Scotland planation;;Pinus;patula;Seed;D;FNF;;;;;;F oxy
London Plantation;;;;;D;F;;;;;;F oxy
NA;Gauteng;;;;D;F;;;;;;NA
;;Eucalyptu;dunni;;D;F;;;;;;Phytophthora
;;;;;D;F;;;;;;Xanthomonas sp sp
;;;;;D;F;;;;;;Xanthomonas sp sp
Franfurt nursery;;Eucalyptu;;Seed;D;F;;;;;;saprohytes
;;Pinus;;;D;F;;;;;;NA
;;Eucalyptu;;;D;F;;;;;;inconclusive
;;Pinus;;;D;F;;;;;;Spharopsis
;;Rhus;;;D;F;;;;;; phoma sp
Mountain Home Nursery;;;55;leaves;D;F;;;;;;Xanthomonas sp
Ngondwana valley;;Eucalyptu;grandi;Seed;D;FNF;;;;;;NA
Lothair;;Eucalyptu;nitens;Seed;D;FNF;;;;;;NA
Lothair;;Eucalyptu;macarthuri;Seed;D;FNF;;;;;;NA
Tweefontein nursery;;;;growth media;D;FNF;;;;;;FSP
Kestell;;NA;;leaves;D;F;;;;;; Conithyrium sp
Belfast;;Pinus;patula;Seed;D;F;;;;;;S sapinea
Vergelegen Estate;;;1;foliage;D;F;;;;;;bacterium
;;;;growth media;D;FNF;;;;;;Fusarium
tweefontein nursery;;Pinus;patula;Seed;D;FNF;;;;;;FSP
;;Pinus;patula;Seed;D;FNF;;;;;;F oxy
Kwatibane farm;;;;Seed, root,foliage;D;F;;;;;;NA
;;Eucalyptu;;Seed;D;F;;;;;;  B dothidea
NA;Kwazulu-Natal;;54;Seed;D;F;;;;;;inconclusive
Nyalazi;Kwazulu-Natal;;;leaves, root;D;F;;;;;;  B dothidea
Mpur estate;;Pinus;;fruiting bodies;D;F;;;;;;Rhizinia undulata
Klipkraal Nursery;;Pinus;patula;Seed;D;FNF;;;;;;FSP
Klipkraal Nursery;;Pinus;greggi;Seed;D;FNF;;;;;;FSP
Bulwer;;Pinus;;Seed;D;FNF;;;;;;NA
Klipkraal Nursery;;Pinus;taeda;Seed;D;FNF;;;;;;inconclusive
White River;;Eucalyptu;;Seed;D;F;;;;;;FSPryo
Uitsoek plantation;;Pinus;patula;Seed;D;F;;;;;;F sub
;;Pinus;greggi;Seed;D;FNF;;;;;;F sub
Ndwedwe;;;;Seed,Soil,root,foliage;D;F;;;;;;P eucalypti
Southern;;Pinus;greggi;Seed;D;FNF;;;;;;F oxy
Northern;;Pinus;greggi;Seed;D;FNF;;;;;;F oxy
Underberg;;Pinus;patula;Seed;D;FNF;;;;;;S sapinea
Sabie;;Eucalyptu;grandi;;D;F;;;;;;  B dothidea
;;Pinus;patula;Seed;D;F;;;;;;inconclusive
NA;;;;Seed,root,Soil,foliage;D;F;;;;;;  B dothidea
Franfurt nursery;;Pinus;patula;Seed;D;FNF;;;;;;FSP
;;Eucalyptu;nitens;leaves;D;F;;;;;;Mycosphaerella
;;Eucalyptu;NA;leaves;D;F;;;;;;Mycosphaerella
Tweefontein nursery;;Pinus;patula;Seed;D;FNF;;;;;;Fusarium
Tweefontein nursery;;Pinus;radiata;;D;FNF;;;;;;Fusarium
Tweefontein nursery;;;;;D;FNF;;;;;;Fusarium
Klipkraal Nursery;;Pinus;patula;Seed;D;FNF;;;;;;FSP
Humansdorp;;Pinus;radiata;Soil,tips;D;F;;;;;;S sapinea
;;Eucalyptu;;Hedge;D;F;;;;;;inconclusive
Mountain Home Nursery;;Eucalyptu;;Cuttings;D;F;;;;;;Cylindrocladium
;;Eucalyptu;;;D;F;;;;;;  B dothidea
Piet Retief;;Pinus;patula;Seed;D;F;;;;;;F oxy
;;Eucalyptu;macarthuri;;D;F;;;;;;-0
Ugie;;Pinus;greggi;Seed, main Seed,Soil;D;F;;;;;;S sapinea
Alicedale;;Pinus;;;D;F;;;;;;S sapinea
Ixopo;Kwazulu-Natal;Eucalyptu;grandi;leaves,root;A;F;;;;;;saprohytes
Ngodwana;;;;growth media;D;F;;;;;;Fusarium
Klipkraal Nursery;;Pinus;patula;Seed;D;FNF;;;;;;F oxyF sub
nursery;;Pinus;;Seed;D;FNF;;;;;;F oxy
Underberg;;Pinus;;Branch, main Seed;D;F;;;;;;Fusarium,Spharopsis
NA;;Pinus;;Seed;D;FNF;;;;;;F oxyF sub
;;Eucalyptu;NA;leaves;D;F;;;;;;inconclusive
De Kaap;;;160;Seed;D;F;;;;;; B dothidea
NA;;;55;Seed,root;D;FNF;;;;;;Xanthomonas sp
NA;Kwazulu-Natal;Pinus;patula;foliage;D;F;;;;;;S sapinea
NCT, town bush clonal trial;;Eucalyptu;;;D;F;;;;;;Pythium
Garlic Estate;;Eucalyptu;;;D;F;;;;;;  Pestalotiopsis
Mountain Home Nursery;;Pinus;patula;Seed;D;FNF;;;;;;F oxy
Waterhoutboom;;Eucalyptu;grandi;;D;F;;;;;;  B dothidea
Lonridge estate;;Acacia;mearnsii;;D;F;;;;;;Fusarium,Cylindrocladiumsp & FSP sp
;;Eucalyptu;grandi;leaves;D;F;;;;;;Mycosphaerella
;;Pinus;patula;Seed;D;FNF;;;;;;F oxy
Ngodwana;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;;;;;;S sapinea
Jessievale;;Pinus;patula;Branch, main Seed;D;F;;;;;;S sapinea
Jessievale;;Pinus;patula;foliage;D;F;;;;;;S sapinea
;;Eucalyptu;NA;;D;F;;;;;; Alternaria
;;Pinus;;;D;F;;;;;;Fusarium
klipkraal-Lothair;;Pinus;patula;Seed;D;FNF;;;;;;Fusarium
NA;;Acacia;mearnsii;Seed;D;FNF;;;;;;Fusarium
Weza Plantation;;Pinus;patula;Soil, Seed;D;FNF;;;;;;F oxy
;;Eucalyptu;;;D;F;;;;;;inconclusive
Port Durnfordt;;Eucalyptu;;;A;F;;;;;;inconclusive
;;Eucalyptu;;Cuttings;D;F;;;;;;  B dothidea
;;;;;D;F;;;;;;  B dothidea
;;;;;D;F;;;;;;Psuedophaeolus, FSP
Longridge;;Pinus;NA;;D;F;;;;;;inconclusive
Chillingly estate;;Pinus;patula;leaves, main Seed, root;D;F;;;;;;saprohytes
Sabie;;Pinus;NA;leaves, Seed,rootts,Soil,Seedd;D;F;;;;;;Armilaria spp
;;;;Soil;A;F;;;;;;saprohytes
klipkraal;;Pinus;patula;Seed;D;FNF;;;;;;Fusarium
klipkraal;;Pinus;elliotti;Seed;D;FNF;;;;;;Fusarium
;;Pinus;patula;Seed;D;FNF;;;;;;F oxy
;;Pinus;patula;Seed;D;FNF;;;;;;F oxy
;;;;Hedge;D;FNF;;;;;;S sapinea
Glenbain;;Eucalyptu;dunni;Seed, root;D;F;;;;;;FSP
;;Pinus;;;D;F;;;;;;inconclusive
;;Olive;;Seed,root,Soil;D;FNF;;;;;;NA
NA;NA;Pinus;patula;Seed;D;FNF;;;;;;NA
Babanango Estate;;Eucalyptu;;leaves;D;F;;;;;;P eucalypti
Ngodwana;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;;;;;;NA
NA;;Eucalyptu;grandi;foliage;D;F;;;;;;P eucalypti
;;Pinus;patula;Seed;D;FNF;;;;;;F oxy
Normandien estate newcastle;;Eucalyptu;nitens;Seed;D;F;;;;;;NA
Umtata;Kwazulu-Natal;Pinus;patula;Cuttings;D;F;;;;;;S sapinea
Franfurt nursery;;Pinus;patula;root,Seed,Soil;D;FNF;;;;;;S sapinea
Welgeboom plantation;;Pinus;elliotti;root,Seed;D;FNF;;;;;;Armilaria sp
Ncalu estate-Creighton;;Pinus;patula;Soil,Seed,root;D;F;;;;;;inconclusive
Ugie;;Eucalyptu;;;D;F;;;;;;S sapinea
Sottsville;;Eucalyptu;;Cuttings;D;FNF;;;;;;saprohytes
Greytown;;Pinus;taeda;Cuttings;D;F;;;;;;S sapinea
Greytown;;Acacia;;;D;F;;;;;;saprohytes
;;Acacia;mearnsii;;D;F;;;;;;C albifundus
;;Acacia;mearnsii;;D;F;;;;;;C albifundus
